tag,headline,summary,author,date,page
xrp,"ADA Rockets 60%, XRP Up 25% on Trump's Reserve Plans, But Traders Aren’t Fully Bullish Yet","Trump is scheduled to hold the first Crypto Summit at the White House on Mar.7, where he is expected to share further plans on how crypto regulations and businesses will be supported in the country.",Markets,2025-03-03,5
xrp,"XRP, SOL, ADA's Coinbase Premium Surges to One-Month High After Trump's Crypto Reserve News",Tokens traded at a notable premium on Coinbase relative to Binance after Trump announced plans for establishing strategic crypto reserve.,Markets,2025-03-02,6
xrp,"XRP, DOGE Plunge 10% as Fresh Trump Tariffs Hit China Markets","Overall crypto market capitalization fell 8% to $2.7 trillion, reversing all advances since Republican Donald Trump was elected U.S. president in early November.",Markets,2025-02-28,6
xrp,"South Korea’s BDACS to Use Ripple Custody for Institutional XRP, RLUSD Holdings","The collaboration aims to bolster Ripple’s ecosystem, enhance RLUSD adoption, and tap into Korean port city Busan’s blockchain-friendly economic zone.",Finance,2025-02-27,6
xrp,"Ether, XRP Down 5% as Crypto’s Painful Week Continues; APT Jumps 10% Amid Aptos ETF Registration in Delaware",Losses in crypto markets mirrored those in U.S. equities after lesser-than-expected earnings from technology stalwart Nvidia failed to wow investors.,Markets,2025-02-27,6
xrp,"XRP Keeps Rally Hope Alive as Price Holds 38.2% Fibonacci Level, DOGE Uptrend Ends",Fibonacci retracement levels serve as potential areas from which prices resume the primary trend.,Markets,2025-02-26,6
xrp,"Bullish Crypto Bets Lose $1.2B as Bitcoin Fumbles to Under $89K, XRP Down 14%",Liquidations crossed the $1.35 billion level in the past 24 hours as a market slide worsened.,Markets,2025-02-25,6
xrp,"Solana Plunges 14%, XRP, Dogecoin Down 8% as Crypto Market Sell-Off Worsens",Traders said the current bearish sentiment could be overblown and macroeconomic decisions were key to support market growth.,Markets,2025-02-25,6
xrp,"Donald Trump Shares CoinDesk's XRP Article on Truth Social, Spurring Bullish Sentiment",Trading volume for XRP is up by 26% to $5.5 billion in the past 24 hours.,Finance,2025-02-19,6
xrp,XRP in Focus as Elon Musk’s DOGE Sets Eyes on SEC,Market watchers believe a clampdown on the U.S. Securities and Exchange Commission could turn out bullish for tokens previously targeted by the agency.,Markets,2025-02-18,6
xrp,Reality of XRP ETF Is One Step Closer After SEC Acknowledges Filing,The Securities and Exchanges Commission acknowledged a filing by the New York Stock Exchange and Grayscale for an XRP ETF on Thursday.,Policy,2025-02-14,6
xrp,"XRP, DOGE Rally as SEC Acknowledges ETF Filings, JUP Cheers Token Buyback Plan",Altcoins made waves as BTC held steady despite continued outflows from spot ETFs.,Markets,2025-02-14,7
xrp,Startup Founded by Citi Alumni to Launch XRP-Backed Securities,Receipts Depositary Corp. already offers bitcoin and ether-backed securities and is now looking to expand its product suite by adding XRP.,Markets,2025-02-07,7
xrp,"XRP Price Outlook Grim as Traders Go Short, Exchange Inflows Increase","XRP's perpetual funding rates remain negative, show a bias for bearish short positions.",Markets,2025-02-06,7
xrp,XRP Teases 2017-Like Bull Pattern Against Bitcoin: Godbole,"The XRP/BTC ratio is looking to move out of the volatility bands, signaling a bullish imbalance in the market.",Markets,2025-02-04,7
xrp,"XRP, Dogecoin Plunge 25% as Crypto Liquidations Cross $2.2B on Tariffs Led Dump","XRP, dogecoin (DOGE) and Cardano’s ADA fell more than 25% to reverse all of the gains since December, reaching pre-U.S. election levels from early November.",Markets,2025-02-03,7
xrp,Ripple's CEO Brad Garlinghouse Bats for Diversified U.S. Crypto Reserve,Ripple's CEO calls for a U.S. strategic bitcoin reserve that includes more than one token.,Markets,2025-01-28,7
xrp,"Solana, Dogecoin, XRP Plunge 10% as Bloody Start to Week Sees $770M Long Liquidations","Traders of BTC-tracked products lost $238 million in the past 24 hours, majorly in early European and Asian afternoon hours.",Markets,2025-01-27,7
xrp,Here Are Two Reasons Why XRP Price May Slide: Godbole,"CME's denial of XRP futures contradicts the optimism seen earlier this month, as technicals point to weakening of the uptrend.",Markets,2025-01-23,7
xrp,"XRP, Solana Prices Rise After Report of Leaked CME Futures Addition","In a now deleted ""staging subdomain"" page CME reported to have said futures contracts for XRP and SOL will go live on Feb. 10.",Markets,2025-01-22,7
xrp,XRP Volume Overtakes Bitcoin on Coinbase as U.S. Investor Interest Grows,"XRP leads volume trends on Coinbase, with BTC and ETH taking second and third places. On Binance, bitcoin is still the most in demand.",Markets,2025-01-17,7
xrp,"Solana, XRP Jump as Trump Reportedly Mulls 'America-First' Strategic Crypto Reserve, but Experts Suggest Otherwise",Two crypto market observers raised concerns to CoinDesk over the idea of expanding a potential national strategic reserve to altcoins.,Markets,2025-01-16,8
xrp,XRP's Bullish Momentum Strongest Since January 2018 as Futures Open Interest Hits Record High,XRP's price rise is accompanied by record perpetual futures open interest and surge in trading volumes.,Markets,2025-01-16,8
xrp,XRP Hits 7-Year High Above $3 as Large Holders Accumulate $3.8B of Tokens,"Growing speculation of a potential spot XRP ETF is one of the factors driving the surge, one crypto analyst said.",Markets,2025-01-15,8
xrp,"XRP, XLM and DOGE See Recovery in Stateside Demand",These tokens are once again prices more or less the same on Coinbase and Binance.,Markets,2025-01-10,8
xrp,XRP Interest Jumps as Brad Garlinghouse Meets With Trump,The native token of the XRP Ledger rose more than 2% on Wednesday while most of the rest of the crypto sector saw steep losses.,Markets,2025-01-08,8
xrp,XRP Rockets 11% as Bitcoin Starts New Year With Bullish Bang,"South Korean trading volumes supported an outperformance in XRP, as a CoinDesk analysis noted earlier this week.",Markets,2025-01-02,8
xrp,"XRP Volumes Zoom Ahead of Bitcoin, Dogecoin in South Korea. What’s Next?","South Korean markets tend to prefer XRP over larger assets such as bitcoin and ether, and a volume bump tends to precede price anomalies on local exchanges.",Markets,2024-12-31,8
xrp,Ripple’s RLUSD Stablecoin Triggers Trading Frenzy,"""CoinDesk Daily"" host Christine Lee breaks down the biggest headlines in the crypto industry Tuesday as the launch of Ripple's RLUSD sparked an XRP trading frenzy. Plus, the latest on MiCA and Tether's investment in European stablecoin company StablR.",Videos,2024-12-17,8
xrp,"Ripple to Roll Out RLUSD Stablecoin on Dec. 17, Adds Former Central Bankers to Advisory Board",The stablecoin will become broadly available to crypto users on the XRP Ledger and Ethereum networks beginning on Tuesday.,Finance,2024-12-16,8
xrp,What the Fed's 'Policy Mistake' Means for Crypto Markets,"Amberdata Director of Derivatives Greg Magadini joins CoinDesk with his outlook on bitcoin, ether and solana's performance in 2025. Plus, insights into the Federal Reserve's rate cut decisions and the skepticism around XRP's recent surge.

This content should not be construed or relied upon as investment advice. It is for entertainment and general information purposes.",Videos,2024-12-13,8
xrp,"Bitcoin Crosses Above $101K as XRP, AI Tokens Lead Crypto Rally Following CPI",Wednesday morning's in line U.S. inflation data seemingly cleared the way for a Fed rate cut next week.,Markets,2024-12-11,9
xrp,XRP Price Raises Bull Flag as $5 Call Options Heat Up: Godbole,XRP's price pattern is teasing a major bullish pattern alongside increased activity in the $5 strike call options on Deribit,Markets,2024-12-11,9
xrp,"XRP Rallies 10% as Ripple's Stablecoin Gets Regulatory Approval, CEO Garlinghouse Says","The approval is a necessary step towards the public launch of the RLUSD token, which is currently in test mode on Ethereum and XRP Ledger.",Markets,2024-12-10,9
xrp,"Gauging Bitcoin, XRP Resistance Levels After Record Price Rallies","As cryptocurrencies enter price-discovery mode, options market activity can help traders identify potential resistance levels.",Markets,2024-12-09,9
xrp,Corporate Bitcoin Treasuries Are All the Rage. Now XRP?,"Worksport, a Nasdaq-listed manufacturer of covers for pickup trucks, has decided to not only buy bitcoin for its corporate treasury, but also Ripple's XRP.",Finance,2024-12-05,9
xrp,XRP Account Fees Fall by 90% After XRPL Validator Vote,"Account Reserve has shifted to 1 XRP from 10 XRP, and creation fees for trustlines or objects is down to 0.2 XRP from 2 XRP.",Markets,2024-12-04,9
xrp,"Move Over XRP's Korea Narrative, The 400% Price Rally Has Support of Coinbase Whales","While Korean investors have contributed to XRP's impressive 30-day price surge of over 400% to $2.60, they're not the only game in town.",Markets,2024-12-04,9
xrp,XRP Records Highest Ever ‘Whale’ Activity as 7-Day Price Gains Near 100%,"Whales can move markets with their buying or selling pressure, and tracking this can indicate their market sentiment.",Markets,2024-12-03,9
xrp,"XRP Surges 380% in One Month, Flipping Tether to Become Third Largest Crypto","XRP, the payments-focused cryptocurrency, has skyrocketed over 380% in the last 30 days. This comes as bitcoin struggles to cross $100,000 amid faltering bitcoin dominance. CoinDesk's Christine Lee presents the ""Chart of the Day.""",Videos,2024-12-02,9
xrp,XRP Replaces Tether as 3rd-Largest Cryptocurrency While BTC Faces $384M Sell Wall,"XRP has surged more than 20% in 24 hours, leapfrogging Tether's USDT.",Markets,2024-12-02,9
xrp,"XRP Surges 14%, Nears $1.70 Level Last Seen in April 2021","XRP surged 14% in the past 24 hours, outpacing bitcoin and other majors, extending a month-long run that has seen its price triple.",Markets,2024-11-29,10
xrp,XRP Outperforms Crypto Majors as Japan Yen Strength Signals Bitcoin Trouble,"Yen breached the key 150 level against dollars early Friday, a move that has previously catalyzed the unwinding of carry trades.",Markets,2024-11-29,10
xrp,"XRP Hodlers Win $1.5B in Weekly Profits, Morocco to Legalize Crypto","XRP long-term holders made a weekly gain of $1.5B in profits, while Ripple Labs injects $25 million in the next U.S. election cycle. Plus, Tornado Cash wins a major legal victory and Morocco is preparing to legalize cryptocurrencies. ""CoinDesk Daily"" host Christine Lee breaks down the biggest headlines in the crypto industry today.",Videos,2024-11-27,10
xrp,XRP Holds Strong as Archax Unveils Tokenized Money Market Fund on XRP Ledger,"Ripple will allocate $5 million into tokens on Abrdn’s Lux fund, part of a larger allocation to real-world assets (RWAs) on the XRPL.",Markets,2024-11-26,10
xrp,First Mover Americas: Rotation to Altcoins Has Started With Gensler's Exit Date Set,"The latest price moves in crypto markets in context for November 22, 2024.",Markets,2024-11-22,10
xrp,"Dogecoin, XRP Trading Volumes Flip Bitcoin’s in South Korea","South Korean traders are known for pushing euphoric rallies on tokens, contributing to buying pressure and possibly influencing prices.",Markets,2024-11-20,10
xrp,XRP Price Surges Amid Record Futures Bets; Who Will Be the Next U.S. Treasury Secretary?,"XRP surged to a three-year high over the weekend to more than $1.20 with futures bets soaring to record levels. Plus, Polymarket bettors put their money on who the next Treasury Secretary will be. ""CoinDesk Daily"" host Christine Lee breaks down the biggest headlines in the crypto industry today.",Videos,2024-11-18,10
xrp,XRP Sees Record Futures Bets Amid Price Surge Above $1.20,An increase in both OI and prices typically indicates that new money is entering the market — indicative of a bullish trend.,Markets,2024-11-17,10
xrp,XRP Price Skyrockets Past $1 as SEC Faces Legal Troubles And Favorable Regulatory Shift Looms,The price surge is consistent with the recent bullish positioning in the options market.,Markets,2024-11-16,10
xrp,"XRP Jumps 17%, Outperforms Rest of the Market as Rally Cools; Trader Thinks $120K Bitcoin Target Still in Play","“We believe that the underlying strength in BTC represents a systematic shift in the market in anticipation of Trump’s return to office,” QCP Capital traders said in a Friday broadcast.",Markets,2024-11-15,10
xrp,"SocGen Crypto Arm to Bring Its Euro Stablecoin to XRP Ledger, Lays Out Plan for Going Multichain",The French financial services firm said earlier this year it will also expand EURCV to the Solana network after struggling to attract users on Ethereum.,Finance,2024-11-14,11
xrp,XRP's 90 Cents Calls Dominate Options Markets as Prices Hover Near 65 Cents: Godbole,XRP trades close to a major supply zone that has consistently capped upside for over a year.,Markets,2024-11-12,11
xrp,"Crypto ETFs Look Unlikely to Expand Beyond Bitcoin, Ether Under Kamala Harris, Experts Say","Several prospective issuers have filed to launch exchange-traded funds tracking smaller coins like Ripple's XRP or Solana (SOL), but the trajectory of those applications may lie with American voters.",Finance,2024-10-21,11
xrp,Bitcoin Flat Near $60K Amid Mideast Tensions; XRP Down 10% on Regulatory Uncertainty,"Bitcoin and ether continue in the red at the start of the U.S. morning trade Thursday. This comes amid intensifying geopolitical tensions as Israel vows to retaliate against airstrikes from Iran fired earlier this week. Plus, XRP plunged more than 10% in the past 24 hours as the SEC announced that they would appeal the rulings of the Ripple case. CoinDesk's Christine Lee presents the ""Chart of the Day.""",Videos,2024-10-03,11
xrp,North Korea Is Infiltrating the Crypto Industry; Diddy Hires Sam Bankman-Fried’s Appeal Lawyer,"""CoinDesk Daily"" host Christine Lee breaks down the biggest headlines in the crypto industry today, as a CoinDesk investigation reveals that crypto firms are unknowingly hiring IT workers from North Korea. Plus, Sean “Diddy” Combs has hired the lawyer who handles Sam Bankman-Fried's appeal and Bitwise registered a trust entity in the state of Delaware, taking a first step at an XRP ETF.",Videos,2024-10-02,11
xrp,Bitwise Makes XRP ETF Plans Official With SEC Filing,The asset manager's S-1 comes a day after it registered a trust entity with the state of Delaware.,Finance,2024-10-02,11
xrp,Bitwise Takes a Step Toward XRP ETF,Ripple's XRP barely budged after the Delaware filing was confirmed.,Policy,2024-10-01,11
xrp,Open Interest in XRP Jumps to Over $1B; Bitcoin Mining Profitability Fell Again in September: JPMorgan,"""CoinDesk Daily"" host Christine Lee breaks down the biggest headlines in the crypto industry today, as open interest in XRP tokens have surged in the past few days amid the hype around Ripple Labs' forthcoming stablecoin RLUSD. Plus, a reorganization plan for bankrupt crypto exchange FTX has gained support from 94% of so-called FTX Dotcom customers and a JPMorgan report shows that bitcoin mining profitability fell for the third straight month.",Videos,2024-10-01,11
xrp,Open Interest in XRP Zooms to $1B as Ripple Tests RLUSD Stablecoin,"Recent activities include minting significant amounts of RLUSD, suggesting the testing phase might be wrapping up or moving into a more active phase of development.",Markets,2024-10-01,11
xrp,XRP Spikes 8% as Grayscale Launches XRP Trust in the U.S.,The closed-end fund will offer investors exposure to XRP tokens.,Markets,2024-09-12,11
xrp,Ripple Will Soon Add Ethereum Compatible Smart Contracts to XRP Ledger,"The contracts will exist on a sidechain built on XRPL, developers said in a Tuesday post.",Markets,2024-09-03,12
xrp,Bitcoin Price Falls Below $59K Amid Broad Market Rout; Ether Slumps Almost 10%,Bitcoin hit the lowest price since Aug. 19. It was not immediately clear what sparked the sell-off.,Markets,2024-08-27,12
xrp,"Bitcoin Pops Over $61K, XRP Leads Gains Among Majors",Some traders expect market movements nearer to Friday when Federal Reserve chair Jerome Powell is scheduled to speak at the Jackson Hole symposium.,Markets,2024-08-20,12
xrp,"XRP Bullish Options' Popularity Jump May Be Due to ETF Speculation, Observers Say","Traders have locked in over $2 million in XRP's $1.10 call option listed on Deribit, the highest across all available maturities.",Markets,2024-08-12,12
xrp,Here's Why XRP Whales May Prefer U.S. Exchanges Over Offshore Venues,"Order books on U.S. exchanges offer more liquidity than their offshore counterparts, according to CCData.",Markets,2024-08-09,12
xrp,"Bitcoin Nears $60K as Crypto Bounce Accelerates, but Recovery Might Be Choppy","While the crypto rally was broad-based, with ETH, SOL, NEAR gaining 8%-10%, prices rarely go up in a straight line following major capitulation events such as Monday's crash, one observer noted.",Markets,2024-08-08,12
xrp,XRP Surges as Ripple-SEC Case Ends,"A federal judge ordered Ripple to pay $125 million in civil penalties and imposed an injunction against future securities law violations, ending the long-running SEC case against the platform. XRP, the native token of Ripple, surged nearly 20% on the news, leading market-wide gains. CoinDesk's Jennifer Sanasie presents the ""Chart of the Day.""",Videos,2024-08-08,12
xrp,"XRP Jumps 17%, Beating Bitcoin Gains, as Ripple-SEC Case Ends",Trading volumes nearly tripled and open interest on XRP-tracked futures jumped $200 million in the past 24 hours.,Markets,2024-08-08,12
xrp,"Bitcoin Traders Eye $55K Amid U.S. Stocks Sell-off, XRP Leads Losses in Major Cryptos","Traditional markets from the U.S. to Japan saw declines across major indexes and stocks, with the tremors seeping into the cryptocurrency market.",Markets,2024-08-02,12
xrp,"XRP Surges 7% Amid Ripple-SEC Settlement Hopes, $600M Token Unlock","XRP trading activity is heightening in South Korea, where traders tend to get euphoric about rallying tokens.",Markets,2024-07-31,12
xrp,Ripple Settlement Hopes Pushed XRP Volumes Above Bitcoin on S. Korean Exchanges This Week,XRP accounted for almost 40% of all trading activity on top Korean exchanges from Tuesday to Thursday and prices surged.,Markets,2024-07-19,13
xrp,XRP Surges 15% on the Back of Triangle Pattern,"XRP surged more than 15% in the past 24 hours, extending the token’s seven-day gains to around 40%, making it the best-performing major, despite favorable regulatory developments for ether and demand for meme coins. Gains in the token started last week as traditional futures powerhouses CME and CF Benchmarks announced the debut of indices and reference rates for XRP. CoinDesk's Jennifer Sanasie presents the ""Chart of the Day.""",Videos,2024-07-17,13
xrp,"XRP Surges 12% on the Back of Triangle Pattern, Rising Futures Bets Favor Bullish Price Moves Ahead","Open interest in XRP-tracked futures has nearly doubled over the past seven days, which is indicative of traders’ expectations of price volatility ahead.",Markets,2024-07-17,13
xrp,Bitcoin Hits $65K Shaking Off Mt. Gox Payout Worries; XRP Leads Crypto Rally,"The Mt. Gox distribution will not end the bullish trend, CryptoQuant's CEO noted.",Markets,2024-07-16,13
xrp,Ripple’s Big Court Win Nonetheless Muddied Waters on Whether XRP Is a Security Deserving Tougher Regulation,"In a near-vacuum of legal and regulatory clarity for crypto, district judges’ opinions on whether a given token is a security or not – which determines the level of regulation – can vary from court to court.",Policy,2024-06-28,13
xrp,Taiwan Crypto Advocacy Body Becomes Formally Active With 24 Entities,The body will act as a bridge between the private sector and the government in supervising the industry.,Policy,2024-06-14,13
xrp,"Ripple's Brad Garlinghouse Foresees XRP, Solana, Cardano ETFs: Consensus 2024","It's only a matter of time, the CEO of Ripple said on stage at Consensus 2024 in Austin.",Markets,2024-05-30,13
xrp,"SOL, XRP Could Be Possible Candidates for ETFs, Standard Chartered Says",Standard Chartered analyst Geoffrey Kendric said that those exchange-traded funds could be on the horizon in 2025.,Markets,2024-05-24,13
xrp,"Ripple Says $10M Penalty Enough, Rejects SEC’s Ask of $1.95B Fine in Final Judgment",The court had found Ripple violated federal securities laws by making institutional sales of XRP but dismissed other allegations brought by the SEC.,Policy,2024-04-23,13
xrp,What Does Ripple’s Stablecoin Mean for XRP?,XRP has plenty of internet fans but Ripple has struggled to win real enterprise customers. Will its new stablecoin fill the gap and overshadow its existing token?,Opinion,2024-04-04,13
xrp,"Ripple, Developer Behind XRP Ledger, Enters Stablecoin Fray vs. Tether, USDC","The token will be ""100% backed by U.S. dollar deposits, short-term U.S. government Treasuries and other cash equivalents,"" according to the company.",Tech,2024-04-04,14
xrp,What Happens if the SEC Classifies ETH a Security? (Wrong Answers Only),"The reported move, if confirmed, could have serious ramifications for the blockchain’s developers. But success for the troubled regulator is far from certain and unanswered questions abound.",Opinion,2024-03-21,14
xrp,Asset Manager Jupiter’s Crypto Investment Scrapped by Compliance Team: FT,"The firm's Gold & Silver fund made a $2.58 million investment in an XRP ETP in the first half of 2023, which was later cancelled.",Finance,2024-02-16,14
xrp,Ripple to Buy New York Crypto Trust Company to Expand U.S. Options,"Standard Custody & Trust Co., which has a New York charter, will be the latest acquisition to grow Ripple's regulatory qualifications.",Policy,2024-02-13,14
xrp,"Ripple Must Share Financial Statements Requested by SEC, Court Rules","The statements will help a judge determine if institutional sales of XRP after the SEC lawsuit was filed in 2020 broke securities law, the SEC said in its request.",Policy,2024-02-06,14
xrp,Binance Freezes $4.2M in XRP Tokens Stolen From Ripple Executive's Wallet,Over $120 million in XRP was stolen from Ripple Labs Executive Chairman Chris Larsen earlier this week.,Markets,2024-02-02,14
xrp,"Ripple's XRP Drops 5% After Executive Is Hacked, Sparking Rumors of Network Breach","Ripple Executive Chairman Chris Larsen said the stolen funds all came from his ""personal XRP accounts"" in response to a report from blockchain analyst ZachXBT.",Finance,2024-01-31,14
xrp,"Ripple's David Schwartz Talks 'Bottom-Up Growth' on XRP Ledger, Rebuts Critics: Q&A","Schwartz spoke to The Protocol about the aftermath of Ripple's SEC win, his method for dealing with XRP's rabid fanbase, the XRP Ledger's controversial approach to centralization, and more.",Tech,2024-01-24,14
xrp,"In Failed Bitfinex Exploit Attempt, Billions in XRP Moved",The failed token transfers spooked some market watchers as they amounted to nearly half of XRP’s $30 billion market capitalization.,Tech,2024-01-15,14
