date,headline,summary
2023-03-30,USDC Outflows Surpass $10B as Tether’s Stablecoin Dominance Reaches 22-Month High,"Circle's USDC stablecoin saw net outflows surpassing $10 billion since March 10 after the regulators shut down the firm's banking partner Silicon Valley Bank. Many of the investors who fled USDC switched to Tether's USDT stablecoin, driving the token to reach its largest market share in 22 months. ""The Hash"" panel weighs in on these developments."
2023-03-30,Circle’s USDC Remains Dominant in DeFi as Pressure Eases on the Stablecoin,"USDC, the key stablecoin in decentralized finance, temporarily lost its dollar peg earlier this month after the collapse of its key banking partner."
2023-04-04,Tether Was a Client of Signature Bank's Signet: Bloomberg,"Tether CTO Paolo Ardoino, in response to the Bloomberg article, denied the company has exposure to Signature Bank."
2023-04-12,"Alameda to Be Repaid $53M Deltec Loan, Delaware Bankruptcy Court Rules",The 2021 payment to Tether's bank Deltec International was originally approved by FTX's Ryan Salame.
2023-04-13,Ondo Finance Plans Yield-Generating Stablecoin Alternative for Institutional Investors,"The new stablecoin-like token, OMMF, will be backed by conventional money market funds and is available only to qualified purchasers and accredited investors. But retail investors can lend against the tokens via Ondo’s DeFi protocol Flux to indirectly access the yield."
2023-04-14,TrueUSD's Bitcoin Trading Volume Nears Tether’s on Binance but Traders Hesitate to Use the Token,"Binance assigned a zero fee discount to the BTC-TUSD trading pair last month, waiving the promotion from Tether’s USDT."
2023-05-10,"Tether Reports $1.48B Profit in Q1, Reveals Bitcoin, Gold Reserves",The company’s USDT stablecoin has seen rapid growth this year as the U.S. banking crisis hit rivals.
2023-05-17,Tether Says It Will Buy Bitcoin for Stablecoin Reserves Using Realized Profits,"The company, which issues the $82 billion USDT stablecoin, reported $1.48 billion of net profits in 2023 Q1 and revealed $1.5 billion in BTC holdings."
2023-05-18,U.S. Hearing Highlights Stablecoin Rift in Competing House Bills,Republicans focused on the chances for legislative compromise while Democrats characterized their stablecoin positions as a deepening divide.
2023-05-22,"Tether Trading Volume Falls to Multi-Year Lows, Market Cap Rise Is ‘Questionable:’ Kaiko","Trading with Tether’s USDT stablecoin has fallen to its lowest level in four years, while its market capitalization nears an all-time high of $83 billion."
2023-05-23,Tether's USDT Trading Volume Falls to Lowest Level in Four Years: Kaiko,"Crypto market research firm Kaiko is out with a new report, noting that trading with Tether’s USDT stablecoin has fallen to its lowest level in four years, while its market capitalization nears an all-time high of $83 billion. CoinDesk's Jenn Sanasie presents ""The Chart of the Day."""
2023-05-30,Stablecoin Issuer Tether Invests in Sustainable Bitcoin Mining in Uruguay,The company earlier this month announced plans to invest part of its profits in BTC purchases and infrastructure.
2023-05-31,USDT Issuer Tether Ventures Into Payment Processing With Georgia Investment,The stablecoin issuer announced earlier this week it is investing in a sustainable bitcoin mining facility in Uruguay.
2023-06-01,"Tether Market Cap Climbs to All-Time High of $83.2B, Even as Stablecoin Market Sinks","USDT has reached a $83.2 billion market capitalization, recovering all the losses since the implosion of blockchain project Terra more than a year ago."
2023-06-01,Nestcoin CEO on Real World Utilities of Stablecoins in Nigeria,"Nestcoin CEO and co-founder Yele Bademosi discusses the real world utility of digital assets in Nigeria, citing the use of stablecoins like USDT in cross-border money movements."
2023-06-05,"Atomic Wallet Users Hacked for $35M Worth of Bitcoin, Ether, Tether and Other Tokens",Atomic Wallet said Monday that “less than 1%” of its monthly active users were impacted in the weekend breach.
2023-06-07,"Bitcoin, Ether Trade at Premiums on Binance.US as Investors Flee Following SEC Actions",The SEC was seeking to freeze assets on Binance.US after suing the exchange and its related global entity Binance.
2023-06-15,"USDT Selling on Curve, Uniswap Spooks Traders Amid Bitcoin Drop","USDT holdings on Curve’s popular ‘3pool’ have risen to over 72% as of Thursday morning, suggesting a sudden disbalance."
2023-06-15,"USDT Selling on Curve, Uniswap Spooks Traders Amid Bitcoin Drop","Millions worth of tether (USDT) stablecoins appeared to be selling off on popular Uniswap and Curve pools Thursday morning, sparking early signs of concern among traders. USDT, which usually trades around $1, lost its peg to the U.S. currency and dropped as low as $0.9968. CoinDesk's Jennifer Sanasie presents ""The Chart of the Day."""
2023-06-16,"Tether’s Banking Relationships, Commercial Paper Exposure Detailed in Newly Released Legal Documents","Obtained by CoinDesk under a Freedom of Information Law request, the documents offer a rare but limited window into the reserves behind USDT, the crypto market’s largest stablecoin."
2023-06-16,"Tether’s Banking Relationships, Commercial Paper Exposure Detailed in Newly Released Legal Documents","Stablecoin issuer Tether kept its funds in four banks, two investment management firms, two gold depositories, and a gold broker and on its own sister company Bitfinex in March 2021, according to documents obtained by CoinDesk. It also had funds in commercial paper issued by various entities. CoinDesk obtained the documents after a nearly two-year legal battle after Tether filed to block the NYAG from releasing them. In a statement, Tether said it “found it suspicious” that USDT depegged after millions of dollars’ worth were sold on decentralized finance pools “on the same day” that the New York government shared the documents with CoinDesk. ""The Hash"" panel weighs in on the documents."
2023-06-21,Tether Issues USDT on Kava Blockchain; KAVA Token Climbs 5%,Tether is looking to improve the stablecoin's liquidity across multiple blockchains.
2023-06-21,Reviewing the Tether Documents,CoinDesk filed a public records request for documents detailing Tether’s reserves. Here’s what we got.
2023-06-28,"TrueUSD Depegs on Binance.US, Drops to 80 Cents Against Tether",TUSD trades at a discount versus Tether as former FTX auditor Armanino's rebranded outlet The Network Firm's association with TrueUSD raises alarm bells on Crypto Twitter.
2023-07-13,"Crypto Markets ‘Highly Dependent’ on Stablecoins Lacking Transparency, TUSD Poses Risk: Kaiko","The rapidly growing TUSD, favored by crypto exchange Binance, poses risk to the market, according to the crypto research firm."
2023-07-26,Paolo Ardoino: Tether's Stress Test,"The role of the stablecoin is to always ensure customers get a one-to-one redemption to the dollar, says Paolo Ardoino, chief technology officer of Tether, the firm stablecoin USDT, and its affiliate cryptocurrency exchange Bitfinex. Scrutiny on the world’s largest stablecoin has been increasing in the past month due to the latest USDT depegging scare. In a Word on the Block interview with Forkast Editor-in-Chief Angie Lau, Ardoino breaks down the USDT reserves, how the firm’s investment in U.S. treasuries is generating profits and discusses why secondary market traders can trigger USDT depegging concerns."
2023-07-31,"Tether Reports $3.3B in Excess Reserves in Q2, Up $850M for the Quarter",The issuer of stablecoin USDT said its operational profits exceeded $1 billion in Q2 this year.
2023-08-03,"Traders Ditch USDT on Curve, Uniswap, Pushing Key Exchange Pools Into Imbalance",Similar imbalances happened when Terra imploded in May 2022 and after the Silicon Valley Bank crisis hit USDC issuer Circle in March.
2023-08-08,"Huobi Receives $200M USDT, $9M Ether From Whale",Transfers occur as outflows from the exchange continues.
2023-08-08,Dissecting the Tether Imbalance on Curve and Uniswap,"Kaiko says Curve’s 3pool and Uniswap V3’s main USDT-USDC pool both became imbalanced late last week, as USDT selling escalated. However, the research firm points out the trend actually started in mid-July, well before the Curve exploit. CoinDesk's Jennifer Sanasie presents ""The Chart of the Day."""
2023-08-17,Tether Stops Support for Bitcoin Layer Omni Citing Lack of Demand,Omni was the first transport layer that Tether used in 2014.
2023-08-17,"Coinbase Will Suspend USDT, DAI and RAI Trading for Canadian Users",The exchange expanded its services in Canada earlier this week.
2023-08-29,Binance to Offer 'T+3' Daily BNB/USDT Options,The new T+3 BNB/USDT options will have a trading lifetime of three days.
2023-09-20,Zeke Faux's Crypto Adventures and His Relationship With Former FTX CEO SBF,"Should Sam Bankman-Fried have just performed a rug pull? Why is it so hard to get details into USDT issuer Tether? Zeke Faux, author of 'Number Go Up,'  shares his findings after making a deep dive into the world of crypto."
2023-09-21,Stablecoin Issuer Tether Ventures Into AI With Northern Data in $427M Nvidia Chip Splurge,"Damoon, a Tether subsidiary in which Northern Group acquired a stake earlier this year, has purchased $427 million of Nvidia chips for generative AI cloud computing."
2023-09-26,"Almost All Crypto Employees Take Pay in Fiat, Pantera Study Finds","The median compensation globally among 570 engineers surveyed was $120,000, with those in North America getting $193,000, up 1.5% versus the prior year, based on the study."
2023-10-31,"Tether Reports $3.2B Excess Reserves, but Lags in Reducing Secured Loans",The USDT stablecoin currently has a market cap of roughly $84 billion.
2023-11-02,Crypto at the Center of $300M Fraud Case in China,21 people were sentenced in a case involving converting 'dirty' USDT to RMB.
2023-11-20,Tether Freezes $225M Linked to Human Trafficking Syndicate Amid DOJ Investigation,"The $225 million was related to the ""pig butchering"" scam."
2023-11-21,Tether Deposits of $1B With UK Financial Firm Are at Center of High Court Battle: FT,"Tether deposited the funds with a subsidiary of investment bank Britannia Financial, according to the report, which cited filings made in the High Court."
2023-12-04,Paolo Ardoino: The Hardest Working Man in Crypto,The newly promoted CEO of Tether is looking to diversify the firm's investments after a banner year where the stablecoin giant is on track to profit $4.5 billion.
2023-12-09,Tether Freezes 41 Crypto Wallets Tied to Sanctions,Several of the frozen wallets had been using Tornado Cash over the past six months.
2023-12-13,Cantor Fitzgerald CEO Howard Lutnick Is a Bitcoin Maxi and Tether Fan,He said Cantor Fitzgerald is a custodian of the U.S. Treasuries that Tether holds to back its USDT stablecoin.
2023-12-13,"S&P Faults Biggest Stablecoin, Tether's USDT, as It Debuts New Industry Ranking","USDT was assigned a low score of four, meaning the largest stablecoin is constrained in its ability to maintain its peg to fiat, the rating agency says."
2024-01-03,USDC Stablecoin Momentarily Depegs to $0.74 on Binance,The stablecoin immediately snapped back to its $1 peg on Binance.
2024-01-16,UN Says Tether Plays Major Role in Illicit Activity in East Asia; Stablecoin Issuer Hits Back,"Tether said it was ""disappointed"" that the report had singled out its stablecoin, USDT."
2024-01-16,Wall Street CEO on Tether Controversy: 'They Have the Money',"Tether's $95 billion stablecoin has been dogged by questions around whether it actually holds the assets it says are backing USDT. Cantor Fitzgerald's Howard Lutnick, whose firm manages money for Tether, says it does."
2024-01-17,Does Howard Lutnick Know ‘the Truth’ About Tether?,"Speaking at Davos, the Cantor Fitzgerald CEO says the stablecoin issuer has the money to back USDT. Maybe it’s time we all started to believe in Tether, despite the “truthers”?"
2024-01-18,"Tether Reportedly Bought 8.9K Bitcoin for $380M, Remaining 11th-Largest BTC Holder",The stablecoin issuer announced in May 2023 that it would start buying bitcoin in an effort to diversify the backing of its USDT stablecoin.
2024-01-31,Tether Reports Record $2.85B Profit as Biggest Stablecoin Nears $100B Market Cap,"The stablecoin issuer held over $5.4 billion in excess reserves as of 2023 year-end, according to its latest attestation."
2024-02-07,Diversifying Stability: Stablecoins Finding Home Beyond the Greenback,"Following the success of Tether and USDC, a generation of stablecoins are offering new features for investors and holders, says Scott Sunshine, Managing Partner of Blue Dot Advisors."
2024-02-26,"Stablecoin Market Cap Hits $140B, Highest Since 2022 Amid USDC Resurgence, Tether Growth","Stablecoin supply is a ""thermometer"" for money flows entering the crypto market, one analyst noted."
2024-03-01,Wall Street Journal Accused of Defamation Over 2023 Tether-Bitfinex Article,"Christopher Harborne and his aviation fuel broker AML Global were wrongly accused of ""committing fraud, laundering money, and financing terrorists,"" according to the lawsuit."
2024-03-04,"Tether's USDT Stablecoin Touches $100B Market Cap, Benefiting From Crypto Trading Frenzy","Despite years-long scrutiny over Tether's stability, USDT saw a rapid resurgence in 2023 benefiting from its close competitors' troubles."
2024-03-11,Tether's USDT To Launch on Celo,The USDT integration aims to boost cross-border payments and peer-to-peer transactions in developing regions.
2024-04-03,Stablecoin Expansion Continues as Bitcoin Rally Appears to Stall,"The unabated expansion of stablecoin supply shows capital continues to flow into the crypto market, one observer noted."
2024-04-18,Sen. Lummis: It'll Pay to 'Choose Circle Over Tether' Under U.S. Stablecoin Proposal,The co-author of the U.S. Senate's latest push for stablecoin regulations suggests Circle would have an edge over foreign competitors for customers seeking safety.
2024-04-19,Polymarket Traders Bet on Fed Rate Cuts; Bitcoin Spot ETFs Register Five-Day Withdrawals Streak,"""CoinDesk Daily"" host Jennifer Sanasie breaks down the biggest headlines impacting the crypto industry today, as U.S.-based spot bitcoin (BTC) exchange-traded funds registered cumulative outflows of $4.3 million, extending the four-day run of withdrawals ahead of the halving. Plus, traders on Polymarket bet on the number of potential Fed rate cuts this year and Tether expands its USDT to the TON Network."
2024-04-23,Venezuela Looks to Tether to Bypass Sanctions: Reuters,Venezuela's state-run oil company started experimenting with Tether in 2023
2024-04-24,Tether Will Freeze Wallets Evading Venezuelan Sanctions,Use of Tether has increased in Venezuela after the U.S. reimposed sanctions on oil exports.
2024-04-24,DOJ Wants CZ to Serve 3 Years in Prison; Tether to Freeze Wallets Evading Venezuelan Sanctions,"""CoinDesk Daily"" host Jennifer Sanasie breaks down the biggest headlines impacting the crypto industry today, as the U.S. Department of Justice said that Binance founder Changpeng ""CZ"" Zhao should spend three years in prison for his guilty plea. Plus, Nigeria’s Central Bank has directed financial institutions to identify persons or entities transacting in or operating with Bybit, KuCoin, OKX, and Binance. And, Tether has said it will freeze wallets that are using USDT to evade sanctions on oil exports in Venezuela."
2024-04-26,Why USDT Dominates Supply With Lower Transaction Volume,"Visa launched a stablecoin dashboard that shows the outstanding supply of fiat-backed tokens at an all-time high, with Tether’s USDT dominating. While USDT dominates supply, when it comes to transaction volume, USDC takes the number one spot. Find out why ""Crypto Is Macro Now"" newsletter author, Noelle Acheson says this could be. CoinDesk's Jennifer Sanasie presents ""The Chart of the Day."""
2024-05-06,Less Than 10% of Stablecoin Transaction Volume Coming from Real Users: Report,The stablecoin market supply currently stands at about $150 billion.
2024-07-31,"Tether Nets $5B Profits This Year, Says Its U.S. Debt Holdings Surpassed Germany's",The company said its $97 billion exposure to U.S. Treasuries would put it 18th in the ranking among countries.
2024-08-09,Tether's USDT and Circle's USDC Combined Supply Grew $3B Amid Crypto Market Rebound,Stablecoins serve a key role in the crypto space and their expanding supply is usually a sign of health of the broader market.
2024-08-12,USDT and USDC Combined Supply Grew $3B Amid Crypto Market Rebound,"The supply of the two top stablecoins, USDT and USDC grew nearly $3 billion in a week, a sign that investors rushed to buy crypto at lower prices after the market tumble last Monday. According to data from Lookonchain, 1.3 billion USDT was transferred to exchanges in the days after the market crash on August 5th. USDC’s market cap also grew some 1.6 billion this week, the highest since March last year. CoinDesk's Jennifer Sanasie presents the ""Chart of the Day."""
2024-08-14,Bitcoin Price May Turn Lower as Crypto Exchanges See $1B USDT Withdrawal: IntoTheBlock,The previous two occasions when exchanges saw similar USDT outflows earlier this year occurred near local tops in bitcoin's price.
2024-08-15,Bitcoin Price May Slide Lower on $1B Withdrawal of USDT: IntoTheBlock,"IntoTheBlock noted that more than $1 billion of Tether's USDT stablecoin was withdrawn from crypto exchanges on Tuesday, the most in a day since May. According to the analytics firm, previous cases where withdrawals exceeded $1 billion soon led to a downtrend in bitcoin. CoinDesk's Jennifer Sanasie presents the ""Chart of the Day."""
2024-09-10,"Tron, Tether and TRM Labs Start Financial Crime Fighting Force","The T3 Financial Crime Unit is looking to clean up USDT issued on Tron, a blockchain favored by bad actors."
2024-09-13,Tether Hires PayPal Government Affairs Ace as U.S. Scrutiny Unresolved,"The world's leading stablecoin issuer brought on Jesse Spiro, who has previously handled government interactions for Chainalysis and PayPal."
2024-09-18,Tether-Issued Stablecoin USDT's Market Share Grows to 75%,"Tether's USDT continues to secure its dominant position in the stablecoin market. According to data from Token Terminal, USDT's market share grew to 75% from 55% in the past two years and the supply of USDT also nearly doubled during that period of time. CoinDesk's Jennifer Sanasie presents the ""Chart of the Day."""
2024-10-09,Uptober Forming Amid Rising Stablecoin Liquidity and Bitcoin Transactions,"Stablecoin market capitalization has jumped to $169 billion led by USDT and USDC. Plus, on-chain analytics firm Santiment reported a bump in whale transactions on the Bitcoin network. Could stablecoin liquidity and rising transaction volume be the catalyst for bitcoin's next price surge? CoinDesk's Christine Lee presents the ""Chart of the Day."""
2024-10-22,Tether CEO Ardoino Says He Expects U.S. Will Catch Up in Crypto Regulation,Paolo Ardoino connected by video to a Washington conference to make a case for how cooperative Tether is being with global governments and how it looks forward to regulation.
2024-10-23,"Justin Sun Might Be Good for Wrapped Bitcoin, Says New Custodian's Director","Robert Liu, a member of the board of Hong Kong-based BiT Global, which was recently added by BitGo as an additional custodian to the bitcoin-on-Ethereum token known as wrapped bitcoin (WBTC), notes in an exclusive interview that Tron founder Justin Sun has come to the aid of customers in the past."
2024-10-28,"Tether's Paolo Ardoino: 'If the U.S. Government Wanted to Kill Us, They Can Press a Button'","But the leading stablecoin issuer is comfortable holding its T-bills at a U.S. institution because it respects international sanctions, CEO Ardoino said in an interview."
2024-10-30,"U.S. Treasury Advisory Panel Says Tokenization Could Be Big, But May Need Central Control","The outside group of Wall Street leaders that guides the Treasury's debt management, the Treasury Borrowing Advisory Committee, shared views on tokenized debt and warned about Tether."
2024-10-31,"Tether Reports $2.5B Profit in Q3, Holds Over $100B of U.S. Treasuries",The company also owns a significant amount of gold and the big move higher in the yellow metal boosted profits.
2024-11-12,Stablecoin Supply Expands by $5B Since U.S. Election as Investors Pile Into Crypto,"Stablecoin exchange balances grew to a yearly high of $41 billion this week, providing dry powder to buy digital assets, one analyst noted."
2024-11-27,"Stablecoins Hit Record $190B Market Cap, Surpassing Pre-Terra Crash Peak: CCData",Demand for stablecoins soared as investors poured capital into cryptos after Trump's election victory.
2025-01-02,Tether's Market Value Sees Sharpest Decline Since FTX Crash as MiCA Kicks In,"Tether's market cap has declined by over 1% this week, the steepest drop since the crash of FTX in November 2022."
2025-04-25,Meet the crypto payment gateway startup that strives to become the Stripe of Africa,The vast majority of businesses in Africa don’t accept crypto as a payment method — and that’s something that this startup wants to change.
2025-04-25,Tether’s stablecoin set to land on Polkadot and Kusama,The launch of parachain shards on Polkadot will also mean the release of Tether on the network.
2025-04-25,"Tether stablecoin is fully backed, says new assurance report","Tether’s reserves for its USDT stablecoin exceed the amount required to redeem the digital asset tokens, according to auditing firm Moore Cayman. "
2025-04-25,Stablecoin reserves on crypto exchanges hit new historic high of $10B,Cryptocurrency exchanges continue accumulating massive amounts of stablecoins like Tether and USDC.
2025-04-25,"Tether market cap surpasses $40B, growing 10x over 12 months ","The market’s leading stablecoin, USDT, reached another major milestone as crypto demand continues to grow.  "
2025-04-25,Tether tokens go live on Ethereum competitor Solana blockchain,"Tether's integration with the Solana blockchain is intended to help support a range of projects in DeFi, blockchain gaming and Web 3.0."
2025-04-25,Tether hit with 500 Bitcoin ransom demand — But says it won't pay ,"The USDT stablecoin issuer says it received a $23 million ransom demand payable by Monday. The deadline has since passed, and Tether isn't paying."
2025-04-25,Transparent stablecoins? Conclusion of Tether vs. NYAG raises new questions,"Though the Tether settlement may help bring in more transparency, experts believe that state-centric bans may not be the way out."
2025-04-25,"Law Decoded: Loose ends and long dramas, Feb. 19–26",Longstanding sagas in crypto saw major plot development and even a conclusion or two in this week's newsletter. 
2025-04-25,Tether to report reserves and pay $18.5M fine after settlement with NYAG,"New York regulators are forcing Tether to be fully transparent about its reserves, at the cost of not serving New York residents."
2025-04-25,Bitcoin skeptic debates Bloomberg analyst in latest Cointelegraph Crypto Duel ,Economist Frances Coppola and senior commodity strategist at Bloomberg Mike MgGlone clash on everything Bitcoin. 
2025-04-25,"Stablecoin RAI launches, a pure, decentralized alternative for DeFi",The RAI stablecoin will attempt to bring stability to DeFi markets with the long-term goal of becoming a stable global reserve asset not tied to any nation’s currency.
2025-04-25,Battle of the whales as $50K Bitcoin hinges on 'Coinbase premium',"A negative premium implies that accumulation will last a little longer, meaning that $50,000 as support may have to wait too."
2025-04-25,USDT-settled futures contracts are gaining popularity — Here’s why,"Crypto exchanges offer USDT- and BTC-settled perpetual futures contracts, but which is best suited for the average trader?"
2025-04-25,Stablecoin adoption and pivot to DeFi drive Algorand (ALGO) price higher,Algorand rallied to a multi-year high after the network emerged as a possible choice for central bank digital currencies and the team revealed its DeFi plans.
2025-04-25,"Amid ongoing legal proceedings, Bitfinex announces Tether loan repayment","A half-billion dollar loan has been closed out, but multiple court cases grind on"
2025-04-25,"After Yearn exploit, attacker funds frozen and reimbursement plans developing ",Seized funds bring the damage down to $9 million as multiple communities ponder the next step in reimbursing user funds
2025-04-25,Coin Metrics co-founder takes aim at WSJ's Tether FUD ,"Reputable data analyst fires back at ""wild theories"" about Tether reported by the Wall Street Journal. "
2025-04-25,USDC on exchanges doubled in January while Tether's dominance fell to new lows,"USD Coin continues to capture stablecoin market share, with Tether’s stable token dominance falling below 75% for the first time ever. "
2025-04-25,"Circle enables seamless USDC-USD transfers, providing a bridge from banks to DeFi ","The result of developments in both crypto technology and regulation, Circle’s new USDC API provides a bridge between crypto and traditional finance."
2025-04-25,Tether and Bitfinex seek further 30 days to produce critical trial documents ,iFinex needs another 30 days to produce trial documents for New York's attorney general.
2025-04-25,New ‘market fear’ index lets traders bet on crypto volatility,COTI’s new Crypto Volatility Index allows traders to profit from highly-volatile cryptocurrency markets.
2025-04-25,Armed robbers steal $450K from Hong Kong crypto trader ,"A gang of four robbers has reportedly stolen about $450,000 from a crypto trader in Hong Kong."
2025-04-25,Ethereum layer-two network to offer batched Tether payments,"Hermez, an Ethereum scaling solution, has partnered with Tether to offer cheaper USDT transactions via zk-Rollups."
2025-04-25,"Relax, Tether won’t be targeted by SEC, says Bitfinex CTO ",Paolo Ardoino says Tether hasn't done anything to warrant any additional investigations from the SEC.
2025-04-25,"Bitcoin, stablecoins and DeFi: 2020’s top-performing crypto assets","2020 may have been filled with challenges, but Bitcoin, stablecoins and DeFi protocols are the clear top performing crypto assets for the year."
2025-04-25,'BAM!' Tether celebrates as USDT market cap passes $20 billion,A record high for the largest stablecoin comes as Bitcoin cools around its own highest-ever levels.
2025-04-25,NY attorney general expects documents within weeks in Bitfinex/Tether case,The New York Attorney General’s Office has reported that iFinex is cooperating in producing documents regarding Bitfinex and Tether’s business relations from April 2019.
2025-04-25,Jeremy Allaire: ‘USDC is halfway to flipping PayPal’ ,"USDC has seen huge growth and is gaining fast on Tether, the king of the stablecoins. "
2025-04-25,‘Shameless’ season premiere name drops Bitcoin and other crypto ,Too bad the brief crypto-related conversation was largely nonsensical.
2025-04-25,Bitcoin exchanges just saw massive Tether stablecoin deposits,Is a broader rally forming for Bitcoin as sidelined capital makes its way onto exchanges?
2025-04-25,"USDT, USDC and BUSD represent 93% of stablecoin market cap",The three largest stablecoins represent a combined capitalization of $60 billion. 
2025-04-25,"Stablecoin growth could affect credit markets, rating agency warns ",Fitch notes potential asset contagion risks posed by stablecoins could lead to tighter regulations for the industry.
2025-04-25,Stablecoins under scrutiny: USDT stands by ‘commercial paper’ tether,Are stablecoins actually stable? Tether’s basket of reserve assets raises eyebrows as a new round of debate regarding backing begins. 
2025-04-25,Stablecoin insurance firm Bridge Mutual to protect against possible Tether depegging ,Years of regulatory uncertainty around Tether could be offset by newfound investor confidence if an emerging insurance protocol for USDT gains traction.
2025-04-25,Messari: USDC set to become ‘dominant’ stablecoin on Ethereum ,Tether supplies on Ethereum are dwindling as USD Coin demand grows and grows.  
2025-04-25,"Federal Reserve official: Stablecoin growth is 'exponential,' deserves 'attention'","Boston Federal Reserve President Eric Rosengren notes that Tether could be a ""disruptor"" to short term credit markets. "
2025-04-25,Altcoin Roundup: Stablecoin pools could be the next frontier for DeFi ,"The days of 4,000% APY on DeFi liquidity pools could soon be replaced by safer, lower-yielding stablecoin-denominated pools."
2025-04-25,CNBC host boldly reveals he sold his BTC amid depths of bear market,"CNBC’s Jim Cramer has sold off almost all of his BTC holdings, predicting bearish fundamentals will suppress Bitcoin’s price for the foreseeable future."
2025-04-25,Stablecoin inflows to exchanges dip as traders watch Bitcoin from the sidelines,"Stablecoin inflows to exchanges tapered off as investors turned bearish on Bitcoin, but a surge in USDC minting could be a signal of upcoming regulation."
2025-04-25,Altcoin Roundup: Post-crash prices give investors a chance to build a diversified portfolio,"Looking to build a diversified crypto portfolio? DeFi, stablecoins and oracles are three cornerstone sectors to consider."
