date,headline,summary
2021-07-27,Hedgehog Markets Raises $3.5M in Funding Round,The company is testing what will be the first predictions platform on Solana's blockchain.
2021-07-30,Lollapalooza and Solana Make Blockchain and NFT Music,The 2021 Lollapalooza music festival kicked off Thursday with Solana as the official blockchain powering its non-fungible token (NFT) marketplace. “The Hash” panel discusses this latest move bringing blockchain & crypto tech awareness to the masses.
2021-08-09,"'Wormhole' Launches for Connecting DeFi on BSC, Terra and Ethereum to Solana","Wormhole opens a faster (and, developers claim, simpler) route for non-native assets to enter Solana’s bustling DeFi ecosystem."
2021-08-12,Solana’s Mango Markets DEX Raises $70M in MNGO Token Sale,"At its height, investors had plowed over $500 million in USDC into the trading platform’s 24-hour sale."
2021-08-16,"Solana, Terra Hit All-Time Highs as Markets Disregard Last Week’s DeFi Hacks","""Crypto natives have proven to be very resilient,"" one analyst said."
2021-08-16,"Solana Hits All-Time High, GoSats Launches Bitcoin Reward Card","Solana hits an all-time high. India’s GoSats launches a bitcoin reward cashback card, and a new survey from Finder shows Asia ranks top on cryptocurrency adoption. We’ll have more on that story and other news shaping the cryptocurrency and blockchain world in this episode of ""The Daily Forkast."""
2021-08-17,TikTok Picks Blockchain-Based Streaming Service Audius to Power New ‘Sounds’ Library,"Audius, a music streaming platform based on the Ethereum and Solana blockchains, is partnering with TikTok on the video-sharing app’s new “Sounds” library. ""The Hash"" squad discusses how the partnership, the first of its kind for TikTok, could help artists on Audius increase their exposure to users and discover crypto more broadly. Will the worlds of decentralized services and Big Tech continue to collide?"
2021-08-17,State of Bitcoin: ‘Calm Before the Storm?’,"As bitcoin’s short-squeeze rally takes a breather, the world’s largest cryptocurrency by market cap is stalling ahead of the $50,000 resistance level and remains stuck in a sideways range."
2021-08-20,Solana's Luna Yield Goes Dark With Some Fearing a 'Rug Pull' Involving $6.7M,SolPad had listed Luna Yield just two days prior to the incident.
2021-08-20,Market Wrap: Bitcoin Rallies Ahead of $50K Resistance,Bitcoin rallied after Coinbase announced it will add crypto to its balance sheet.
2021-08-23,Crypto Funds Snap 6 Weeks of Outflows as Markets Rally,The latest data reflected a reversal after six consecutive weeks of outflows.
2021-08-24,Osprey Readies SOL Fund as Solana Attracts Institutional Interest,Osprey appears to have beaten Grayscale in the race to get a Solana vehicle into the market.
2021-08-25,Solana's Apricot Finance Raises $4M in 'Party' Funding Round,Apricot said it intends to use its newly raised capital to support the rollout of its flagship services.
2021-08-25,"ADA, SOL Lead the Way as Crypto Market Sees Price Pullback","""It is normal for investors to reduce exposure to enter at a lower price,"" one observer said."
2021-08-25,Pyth Launch to Bring Quant Firms’ Market Data to Solana,"Backed by an array of high-frequency traders, the data pipeline’s mainnet launch is imminent. But key details like governance structure remain unresolved."
2021-08-29,"Solana, Boosted by Move Into NFTs, Enters List of Top 10 Cryptocurrencies by Market Cap",Institutional demand for SOL has increased in recent weeks.
2021-08-30,Solana Enters List of Top 10 Cryptocurrencies by Market Cap,"Solana’s SOL token is now the 8th biggest cryptocurrency by market value. Toroso Investments CIO Michael Venuto discusses his take on what could be driving the current Solana rally. Plus, his insights into the possible impact of the $1 trillion infrastructure bill on institutional interest in crypto and outlook for bitcoin exchange-traded funds (ETFs)."
2021-08-30,"SOL Hits Record High, Climbs Above $100 as Total Value Locked on Solana Crosses $3B",SOL draws a three-figure price for the first time as boom  in DeFI and NFTs continues and token-burn speculation grips markets.
2021-08-30,"SOL Hits Record High, Climbs Above $100 as Total Value Locked on Solana Crosses $3B","Programmable blockchain Solana’s SOL token crossed the $100 mark on Monday, drawing a three-figure price for the first time. The cryptocurrency ranked eighth largest by market cap, ahead of Polkadot and stablecoin USDC. ""The Hash"" team discusses their reading of the SOL rally and the potential outlook for the so-called ""Ethereum killer."""
2021-09-01,"BridgeTower Capital, Solana Form $20M Investment Fund",The fund will take equity stakes and tokens in projects designed to develop the Solana ecosystem.
2021-09-01,Solana’s SOL Token Nearly Tripled in August as Investors Bet on ‘Ethereum Killers’,Terra’s LUNA and Cardano’s ADA also surged as Ethereum’s scalability issues pushed investors to speculate on alternative DeFi base layers.
2021-09-02,UXD Raises $3M to Bring Algorithmic Stablecoins to Solana,"The team behind the interest-generating UXD is backed by Multicoin Capital, Alameda Research and the Solana Foundation."
2021-09-03,Solana’s SOL Replaces Dogecoin as 7th Largest Cryptocurrency,SOL hits fresh record high as NFT boom continues
2021-09-03,Market Wrap: Bitcoin and Ether Cross Milestones as Rally Continues,Bitcoin hit $50K and ether approached $4K as risk appetite heats up.
2021-09-07,Solana Climbs 30% on Back of FTX NFT Marketplace Launch,The SOL token hit an all-time high of  $194.82 early on Tuesday.
2021-09-07,"Solana Hits All-Time High, FTX’s NFT Marketplace Spammed","Solana hits an all-time high. FTX’s NFT marketplace spammed. Kim Kardashian called out over crypto speculation. We’ll have more on those stories and other news shaping the cryptocurrency and blockchain world in this episode of ""The Daily Forkast."""
2021-09-07,Market Wrap: Bitcoin Plummets as El Salvador Buys the Dip,"Bitcoin tumbled below $46K, triggering billions in long position liquidations."
2021-09-08,The Next Solana? Algorand Token Sees Highest Price in More Than 2 Years Despite Market Sell-Off,"The price of Algorand’s ALGO tokens has jumped more than three-fold this year, leading to a market capitalization of more than $6 billion."
2021-09-08,"MetaMask Surpasses 10 Million MAUs, Becomes World’s Leading Non-Custodial Crypto Wallet","Lex Sokolin, Global Fintech co-head of leading Ethereum software company ConsenSys, discusses what’s behind the huge growth of user activity in MetaMask, which now has more than 10 million monthly active users (MAUs) and positions itself as the leading non-custodial wallet by users globally. Plus, his take on the outlook for NFTs, Ethereum, and Solana."
2021-09-08,Staking Giant Lido Expands to Solana,Lido controls over 80% of the fast-growing market for ether staking derivatives.
2021-09-09,Solana-Based Game Raises $4.1M to Teach You How to DeFi,DeFi Land is a farm simulator teaching the basics of decentralized finance. Can it be a game-changer for new crypto users?
2021-09-09,"Solana Price Surge Likely to Be ‘Decently Organic,’ Says FTX’s Sam Bankman-Fried","The undermarketing of Solana may mean the current rally is built on sturdier ground, the FTX CEO suggested Thursday."
2021-09-09,SOL Tops $200 as Google Search Data Shows Peak Retail Interest,Retail investors have a reputation for being the last entrants in a bull run.
2021-09-11,Degenerate Ape NFT Sells for More Than $1M on Solana,The sale is a record for the layer-1 rival to Ethereum.
2021-09-13,"Market Wrap: Bitcoin Whipsaws on Fake News, Investors Flow Into Solana Funds",Bitcoin traded in a choppy range on a fake press release about a Walmart partnership with Litecoin.
2021-09-13,Solana Funds Outshined Bitcoin Last Week Amid Down Market,"Crypto funds focused on Solana’s SOL token garnered almost $50 million of inflows last week, while bitcoin funds brought in a “paltry” $200,000."
2021-09-13,Why is Bitcoin Pulling Back?,"Osprey Funds founder and CEO Greg King analyzes the crypto markets and his outlook as bitcoin continues to fade after last week’s sell-off from the $52,000 resistance level, and the upside appears to be limited given signs of slowing momentum."
2021-09-13,"E-CNY Problems to Be Solved, China Sees Warning Over NFT Hype",People’s Bank of China outlines e-CNY problems to be solved. China opinion piece voices warning over NFT hype. Solana competitors on the rise. We’ll have more on those stories and other news shaping the cryptocurrency and blockchain world in this episode of “The Daily Forkast.”
2021-09-14,Solana Labs CEO Anatoly Yakovenko on SOL Dominance in Altcoin Markets,"As the Solana blockchain continues to make waves in the crypto markets, Solana Labs CEO Anatoly Yakovenko discusses the drivers behind Solana’s emerging dominance in the blockchain space, digging into the potential weaknesses of Ethereum. Plus, insights into Solana’s use cases including NFTs and the outlook for its native token SOL."
2021-09-14,"FTX.US President on Bitcoin, Altcoins, Crypto Regulations","Brett Harrison, president of crypto exchange FTX.US, the American arm of Sam Bankman Fried’s crypto empire FTX, joins “All About Bitcoin” live from the 2021 SALT Conference in New York to discuss what to make of large sums of bitcoin flows moving on his platform."
2021-09-14,Solana Validators Plan Network ‘Restart’ as Outage Continues,Solana developers have decided to restart the network after over seven hours of downtime.
2021-09-15,What Does Solana's Blackout Reveal About the Network?,"Solana’s blockchain validators came back online early Wednesday following engineers racing to restore service. After being down for more than half a day, the high-speed blockchain succeeded shortly after 1:30 a.m. Eastern time in pushing a network patch that held across a network of validators. ""The Hash"" panel discusses the latest development around Solana and what it illuminates about the ""experimental"" nature of the digital asset space."
2021-09-15,"Bitcoin and DeFi Coins Rally, Ethereum Alternatives Drop as Solana’s Outage Triggers Sector Rotation",Solana’s and Arbitrum’s outages were bad optics for Ethereum alternatives in general.
2021-09-15,Solana Mainnet Back Online After Day in the Dark,Engineers succeed in restoring service across Solana’s network of node-runners after the system was in the dark for almost 20 hours.
2021-09-15,"LMAX Group CEO on $300M Raise, $1B Valuation","David Mercer, CEO of LMAX Group, a London-based fintech company that operates exchange trading platforms, including its crypto exchange LMAX Digital, discusses the latest $300 million raise that values the firm at $1 billion. Plus, his thoughts on Solana amid the network failure, competitor Binance facing regulatory scrutiny in the U.K., and the broader crypto markets outlook."
2021-09-15,What Makes Algorand One of the Hottest Proof-of-Stake Smart Contract Platforms This Year?,"Sean Ford, COO of proof-of-stake smart contract platform Algorand, which is up 555% year-to-date, shares insights into Algorand's architecture and mission to ""build and innovate high performing technology"" following Tuesday's network failure on Solana. He discusses Algorand's key differentiators from its competitors, its role in El Salvador's Bitcoin Law, as well as the price action of ALGO. Plus, he discusses the Algorand Foundation's recently launched $300 million DeFi innovation fund."
2021-09-15,"Solana Validators Complete Restart, Laos Ends Crypto Ban",Solana validators complete restart after intermittent network stability issues. Laos ends a three-year ban on crypto trading and mining. Hangzhou Asian Games announces an NFT collection. More on those stories and other news shaping the cryptocurrency and blockchain world in this episode of “The Daily Forkast.”
2021-09-16,JST Capital Co-Founder on Embracing Bitcoin's Volatility,"Scott Freeman, a partner and co-founder of crypto services firm JST Capital based in the U.S. and Singapore, discusses his crypto markets assessment and outlook, explaining why he likes volatility. ""The more volatility, generally, the better we do in the markets,"" Freeman said, although he claims bitcoin's current rangebound nature is challenging the volatility strategy. Plus, his take on Solana, DeFi landscape, crypto regulation, and more."
2021-09-16,Solana-Based Music Marketplace Launches With Aspirations to Tokenize Royalties,Solo Music follows 3LAU’s Royal platform as music-industry crypto experimentation continues.
2021-09-16,"Katy Perry, Chainsmokers, Pusha T Plow $5M Into Music Streaming Platform Audius",The leading blockchain-based music platform is getting attention from the stars.
2021-09-17,Market Wrap: Bitcoin Traders Take Profits Amid Regulatory Crackdowns,"Derivative markets are displaying signs of uncertainty, and concerns about regulation are rising."
2021-09-20,"Crypto Funds See Inflows, Despite Slower Overall Volumes","Solana, which suffered a network outage that lasted nearly 20 hours last week, saw inflows of $4.8 million."
2021-09-22,Solana-Based DEX Orca Raises $18M Series A Funding,Orca will use the fresh funding injection to continue developing its automated market maker (AMM).
2021-09-22,Neopets Looks to NFTs to Revive Its Early-Aughts Glory,The virtual pet universe has tapped Solana’s Raydium exchange for an NFT drop high on nostalgia.
2021-09-23,TRM Labs to Bring Crypto Tracing Tools to Solana,The company is the first of the major crypto trackers to bring its compliance tools to the Solana blockchain.
2021-09-23,Altcoins Surge as Crypto Market Regains Steam,AVAX climbed 24% to hit a record of $79.58.
2021-09-23,Why Civic Technologies Is Building DeFi Identity Tools on Solana,"Solrise Finance will host the Civic Pass, which aims to make DeFi chime with institutions."
2021-09-23,"Grape Network, the Startup That Broke Solana, Raises $1.8M",Key contributor Dean Pappas said he didn’t mean for his project’s public token sale to crash an entire ecosystem. Now VCs are following suit.
2021-09-27,‘Solcial’ Raises $2.9M to Build Censorship-Free Social Media on Solana,The site will place a heavy focus on monetization opportunities for content creators.
2021-09-28,Solana-Based Prediction Market Uses DeFi Yields to Finance ‘No Loss’ Betting,"Hedgehog’s experimental wagers combine prediction markets with stablecoins, decentralized finance and gamification."
2021-09-29,Solana-Based NFT Firm Metaplex Names Adam Jefferies CEO of New Studio,"He will be joined by a new board that includes members from Audius, Coinshares, Cultur3 Capital, Phantom and Saber Labs."
2021-10-01,Grayscale Adds Solana to $494M Digital Large Cap Fund,The asset manager’s bitcoin-heavy fund allocated 3.24% to SOL Friday.
2021-10-11,FTX.US Launches Collectibles Arm in Boost to Solana-Based NFTs,"The exchange will allow users to trade, mint, auction and authenticate Solana NFTs. Plans to support Ethereum NFTs are in the works."
2021-10-11,Crypto Funds Double Weekly Inflows to $226M as Ebullience Returns to Bitcoin Market,"The jump was largely driven by bitcoin-focused funds, where inflows rose by $156 million to $225 million, the highest in five months."
2021-10-13,Solana’s Phantom Adds Safety Rails After Scammers Drain Wallets,Phantom’s security upgrades highlight the tug-and-pull between developers trying to simplify crypto’s user experience and scammers exploiting their shortcuts.
2021-10-15,FTX.US President on Launching Collectibles Arm in Boost to Solana-Based NFTs,"FTX.US, the U.S. wing of Sam Bankman-Fried’s crypto empire, announced its new marketplace, FTX NFTs, will allow users to trade, mint, auction and authenticate Solana-based NFTs. It plans to support other blockchains in the future, including Ethereum. FTX.US President Brett Harrison shares news regarding the launch and insights into the booming NFT market. Plus, reactions to the reported SEC decision to allow bitcoin futures ETFs."
2021-10-18,The First ‘Move-to-Earn’ NFT Game Raises $8.3M,"With funding from Konvoy Ventures and Pantera Capital, the Solana-based Genopets is merging meatspace and the metaverse."
2021-10-21,Solana-Based DeFi Protocol Synchrony Raises $4.2M for Composable Indices,"The funding, led by by Sanctor Capital, Wintermute Trading and GBV Capital, will also go toward its marketing operations."
2021-10-21,DraftKings Founders Back ‘Play-to-Earn’ Soccer Game With $3M Raise,"MonkeyBall, a self-described mashup of “FIFA Street” and “Final Fantasy,” will run on the Solana blockchain."
2021-10-25,Crypto Fund Inflows Hit Record $1.5B as Bitcoin Futures ETFs Go Live,"Bitcoin dominated this week’s inflows, with a 99% share. Last week, bitcoin’s weekly inflows were at $70 million."
2021-10-25,Solana Hits New Record High as Layer 1 Tokens Follow Bitcoin’s Gains,Momentum has been building after bitcoin hit an all-time high last week.
2021-10-25,Market Wrap: Bitcoin Rises Again as Altcoins Outperform,Bitcoin is back above $62K and investors are pumping more money into crypto funds.
2021-10-26,Solana-Based Perpetual Swaps DEX Drift Protocol Raises $3.8M,Multicoin Capital led the decentralized exchange’s funding round with Jump and Alameda also participating.
2021-10-27,Solana-Based Yield Aggregator Tulip Raises $5M,The DeFi app formerly known as SolFarm has over $800 million in TVL.
2021-10-27,"FTX CEO Sam Bankman-Fried on $420M Raise, LedgerX Acquisition","Bahamas-based crypto exchange FTX has finalized acquiring regulated futures exchange LedgerX. This follows last week’s meme-friendly raise of over $420 million from 69 investors and a Solana-based NFT marketplace launch earlier this month. FTX founder and CEO Sam Bankman-Fried shares insights into the crypto empire’s latest developments, discussing what lies ahead."
2021-11-02,"Deadmau5, Gregory Siff Merge Digital and Physical Art With Solana NFT Drop",The duo is tapping metaverse studio Looks Rare to turn real-life art into NFTs.
2021-11-03,"Loopring Surges 40%, Solana Replaces Cardano as 5th-Largest Coin as Ethereum Fees Spike","The average transaction fee on Ethereum has risen a staggering 2,300% since late June."
2021-11-03,"ETH and SOL Hit All-Time Highs, CBA to Offer Crypto Services",Ethereum and Solana hit all-time highs. Australia’s CBA to offer crypto services. Hong Kong fintech week underway. We’ll have more on those stories and other news shaping the cryptocurrency and blockchain world in this episode of “The Daily Forkast.”
2021-11-04,"Ether to Extend Outperformance Versus Bitcoin Following Recent Breakout, FSInsight Says",Solana may see some consolidation in the near term following recent gains.
2021-11-04,Ethereum Alternatives and Gaming Tokens Outperform BTC and ETH,"Bitcoin and ether were little changed over the past 24 hours. Yet, digital currencies associated with Solana and Polkadot, both alternatives to the Ethereum blockchain, were outperforming along with gaming tokens like Axie Infinity’s AXS. ""The Hash"" team discusses the rise of altcoins and wider crypto markets outlook."
2021-11-04,Ethereum Alternatives and Gaming Tokens Outperform BTC and ETH,Solana’s SOL hit an all-time high of $246 on Wednesday and the token is up 5% in the last 24 hours. Polkadot (DOT) is up 7%.
2021-11-05,"FTX, Lightspeed, Solana Ventures to Invest $100M in Web 3 Gaming","FTX, Lightspeed Venture Partners, and Solana Ventures are investing $100 million in Web 3 gaming development. The funding will go towards gaming studios and technology integrating the Solana blockchain into video games on desktop and mobile platforms. The Hash"" group discusses the implications for the initiative, one of the largest capital investments ever in the growing Web 3 gaming space."
2021-11-05,Bitcoin Dominance Weakens as Altcoins Rally,"Solana’s SOL and ether both hit record highs during the week, while bitcoin was little changed."
2021-11-08,Crypto Fund Inflows YTD Significantly Higher Than Last Year,Total assets under management have also reached an all-time high of $80 billion.
2021-11-09,"Solana Wallets Phantom, Solflare Eye Mobile for Growth",Phantom is launching a wallet app; Solflare’s is already live. Both projects see mobile as critical to expanding crypto’s reach.
2021-11-09,Neon Labs Raises $40M to Bring EVM Functionality to Solana,The Ethereum-compatible environment could lead to implementations of popular DeFi protocols on the blockchain.
2021-11-09,Nansen to Bring Crypto Intelligence Tools to Solana Early Next Year,Solana will be Nansen’s first “non-EVM” blockchain when it joins the platform in early 2022.
2021-11-09,"Reddit Co-Founder, Solana Ventures Launch $100M Initiative for Web 3 Social Media",Alexis Ohanian’s Seven Seven Six thinks Solana can support social at scale.
2021-11-10,Solana-Based GameFi Title Genopets to Partner With Yield Guild Games,The companies are aiming to expand play-to-earn gaming worldwide.
2021-11-10,Zebec Protocol Launches on Solana Offering Flexible Payroll,Zebec Payroll allows workers to be paid by the second with USDC or other stablecoins.
2021-11-11,"Bitcoin Retreats From All-Time High, Ether Follows",The shakeout appeared to coincide with a turn lower in U.S. stock markets.
2021-11-15,Solana Hits Bloomberg Terminal With Galaxy-Backed Index,SOL is only the third crypto with a standalone index developed by Bloomberg-Galaxy.
2021-11-15,Steady Interest in Bitcoin Keeps Money Flowing Into Crypto Funds,"Investment products focused on the largest cryptocurrency gained $98 million, up from $95 million the week before."
2021-11-15,Solana Throws a Three-Day Party for Itself,Venture cash and staggering gains loomed large over Lisbon as the superfast network celebrated one hell of a year.
2021-11-17,Solana-Based Sports Betting Protocol BetDEX Closes $21M Seed Funding Round,"Crypto exchange FTX and crypto investment firm Paradigm led the raise, which included a number of prominent venture capital firms."
2021-11-18,Cypher Raises $2.1M for Traditional Futures Market on Solana,The protocol wants to become an influential outpost for pre-launch price discovery.
2021-11-22,How Misinformation on ‘Book Twitter’ Killed a Literary NFT Project,“Realms of Ruin” used the Solana blockchain for a reason. That didn’t stop people from accusing it of ruining the environment.
2021-11-29,Three Arrows Backs Money-Streaming Mean DAO to Boost DeFi Payments on Solana,The $3.5 million funding round included SoftBank and DeFiance Capital.
2021-11-30,Steve Aoki and Todd McFarlane on Launching New NFT Marketplace ‘OddKey’,"Dim Mak Records founder and DJ Steve Aoki, along with award-winning comic book superhero Spawn creator Todd McFarlane, discuss partnering up to launch Oddkey, a new protocol for buying, selling, and auctioning collectibles on the Solana blockchain."
2021-11-30,Hxro Raises $34M on Promise of Derivatives Trading Infrastructure for Solana,TradFi stalwart Susquehanna International Group and DeFi upstart Jump Crypto co-led the network’s latest token round.
2021-11-30,Grayscale Launches New Trust Dedicated to Solana,The Grayscale Solana Trust is now available to eligible individual and institutional accredited investors.
2021-11-30,"Avalanche, Layer 1 Tokens Soared in November as Ethereum Fees Drove Competition",Avalanche saw its AVAX token rise 70% in November and was the month’s best performing layer 1 platform with a market capitalization of $10 billion or greater.
2021-12-02,Three Arrows Leads $4.3M Round for Solana-Based Metaverse Project Solice,Solice is bringing VR to the mix in a bid to compete with Decentraland and The Sandbox.
2021-12-03,"CoinDesk 20 Update: ATOM, ICP and SOL Are In; AAVE, GRT and UNI Are Out",Web 3 is replacing DeFi among the most traded currencies in crypto.
2021-12-10,"Solana Validators, Engineers Grapple With Blockchain Slowdown on Public Call","After a bout of Thursday morning congestion, members of the high-speed blockchain’s validator community voiced concerns about the network’s reliability."
