date,headline,summary
19-05-2021,'The Dogecoin Millionaire' on the Future of DOGE,"Glauber Contessoto, also known as ""The Dogecoin Millionaire,"" invested in Dogecoin (DOGE) in February. 69 days later, he became a millionaire. He joins “Coin Toss” to discuss his DOGE journey and worldview, shedding light on his investment strategy. Plus, his thoughts on the stock market, the Federal Reserve’s role on cryptocurrencies, celebrity influence and more."
27-05-2021,BitPay CEO on the Growth of Crypto Payments Like Dogecoin for Oakland Athletics Tickets,"BitPay’s CEO Stephen Pair says he’s been “blown away” by the increased use of dogecoin. Since March, the firm has processed 13,000 dogecoin transactions for everyday purchases, and DOGE has currently climbed to the third most used cryptocurrency for payments on BitPay."
02-06-2021,Dogecoin Soars 32% in 24 Hours as Coinbase Hops on the Crypto-Meme Train,"Dogecoin has surged 32% in the past 24 hours following an announcement from Coinbase that said it has listed dogecoin (DOGE) on its professional trading platform. “The Hash” panel reacts to Coinbase climbing aboard the crypto-meme train, suggesting the way ahead for the dogecoin phenomenon."
04-06-2021,Coinbase Retail Customers Can Now Buy Dogecoin,"Coinbase will begin allowing retail users to purchase dogecoin, and is kicking off a $1.2M giveaway to promote the memecoin's availability. ""The Hash"" panel discusses the role of joke coins in the crypto space and whether it is responsible for platforms like Coinbase to promote them."
07-07-2021,Dogecoin Millionaire Giving Away 1 Million DOGE With New Game 'Million Doge Disco',"""Dogecoin Millionaire"" Gary Lachance has beta launched an augmented reality (AR) mobile game called ""Million Doge Disco,"" a ""decentralized dance party"" that enables players to earn non-fungible tokens (NFTs) and dogecoin (DOGE). As part of the launch, Lachance plans to give away $1 million DOGE."
09-07-2021,"Hot DOGE! Elon Musk Thrusts Baby Doge Into the Spotlight, Meme Coin Soars","Tesla CEO Elon Musk tweeted Thursday a shoutout to meme-based cryptocurrency ""baby doge,"" a spinoff of dogecoin (DOGE), sending its value to increase by more than 80%. Has Musk moved on from DOGE? ""The Hash"" panel discusses baby doge and Musk's influence on the ""meme economy."""
27-07-2021,Why ‘Wolf of Wall Street’ Jordan Belfort Thinks Tether Is a Scam,"Jordan Belfort, the former stockbroker known as the “Wolf of Wall Street” and current crypto bull, discusses why he thinks stablecoin USDT issuer Tether is a scam. “I’ve been saying that since 2017 that I thought there was a big problem with Tether,” Belfort said."
05-08-2021,"Oscar Mayer Auctions Single Pack of 'Hot Doge Wieners' Worth 10,000 DOGE","Oscar Mayer, a unit of food giant Kraft Heinz, is the latest to take advantage of this year's massive dogecoin (DOGE) hype. The longtime hot dog maker has put a limited-edition single pack of “Hot Doge Wieners” that comes with the cash value of 10,000 dogecoins for sale on eBay. Is this a jump-the-shark moment or a trend that we can expect to grow?"
05-08-2021,"China Continues E-CNY Pilot, Google Allows Crypto Advertising","China’s e-CNY trials continue. Google allows crypto advertising back, and Oscar Mayer rolls out “hot doge” sale. We’ll have more on that story and other news shaping the cryptocurrency and blockchain world in this episode of ""The Daily Forkast."""
12-08-2021,"Poly Network Assets Returned, OKEx Lists Baby Doge","Poly Network returns stolen assets. Indian women lead the charge in crypto exchange account sign-ups. OKEx lists Doge memecoin spin-off Baby Doge. We’ll have more on that story and other news shaping the cryptocurrency and blockchain world in this episode of ""The Daily Forkast."""
18-08-2021,Dogecoin Foundation Returns With Ethereum’s Vitalik Buterin as Adviser,"The Dogecoin Foundation, a nonprofit organization that aims to support the development of DOGE, has been re-established with Ethereum co-founder Vitalik Buterin as its “blockchain and crypto adviser.” The foundation is now hoping to secure a three-year budget to hire a small staff to work on dogecoin full-time."
15-10-2021,Why Shiba Inu Has Been More Resilient Than Some SHIB Haters Would Like to Admit,"While institutional investors have largely ignored dogecoin killer shiba inu (SHIB), the meme-token is rising thanks to its SHIB Army grassroots community. “The Hash” squad discusses the SHIB phenomenon and why this is a continuing story to watch."
27-10-2021,SHIB Flippened DOGE With $160M in ‘Smart Money’ Backing Latest Pump,"Shiba Inu, the self-proclaimed dogecoin killer, briefly surpassed DOGE in market value Wednesday, backed by “smart money” worth about $160 million from the past seven days. This comes as ads for Floki, a meme-based coin named after Tesla CEO Elon Musk’s shiba inu dog, have appeared on London’s transportation network in recent weeks."
28-10-2021,"SHIB Coin Surging to Record High, $8K Investment Last August Now Worth $5.7B","The shiba inu (SHIB) token continues its astonishing ascent in the crypto markets. An $8,000 investment in SHIB in August 2020 is now valued at about $5.7 billion, representing a seven million percent gain. ""The Hash"" panel discusses the outlook for the ""dogecoin killer"" and the potential risks of buying into the meme economy."
23-11-2021,Binance Rebuilding DOGE Wallet to Deal With User Account Freeze,"“The Hash” hosts react to crypto exchange Binance trying to rebuild its wallet to fix a technical issue resulting in numerous erroneous dogecoin transactions and frozen user accounts. The incident caught the attention of Tesla CEO Elon Musk, who started a Twitter war with Binance CEO Changpeng “CZ” Zhao."
29-11-2021,‘Dogecoin Millionaire’ on Why He’s Not Selling His DOGE,"Glauber Contessoto became a “dogecoin millionaire” in April just 69 days after he ​invested a little over $250,000 in DOGE in February. Contessoto discusses his journey with the meme-inspired cryptocurrency and why he’s holding all of his holdings for the long-term, even buying more during the dips."
29-11-2021,‘The Elon Musk Effect’ on Cryptocurrency Markets,"Tesla CEO Elon Musk’s tweets have tended to impact the price movement of cryptocurrencies. Following his comments in January, dogecoin’s value grew by about 216% following his remarks, and at one point in May, the entire crypto sector lost nearly $1 trillion. What is the extent of his influence on the crypto markets?"
30-11-2021,Why We Should Take Memecoins Seriously,"Dogecoin, a dog-themed cryptocurrency, has surged over 6,000% year-to-date thanks in part to the support of Elon Musk and other celebrities. Its origins as a “joke” make it the first memecoin, going overlooked by mainstream media and financial experts as a “shitcoin.” But is it time to take DOGE seriously?"
30-11-2021,"$10M Yacht for Sale, DOGE Accepted","The owners of Italian-built Vianne, a 170-foot yacht, said prospective buyers would be able to buy the vessel with a 10% fiat deposit and the rest in crypto in bitcoin, ether, and dogecoin. It will also accept SOL, FTM, BNB, or ""top tier"" NFTs from the CryptoPunk or Bored Ape Yacht Club collections. ""The Hash"" squad discusses the latest signal of a broader embrace of crypto by the luxury goods industry."
03-12-2021,Are Memes the Future of Money?,"Shiba inu (SHIB) and dogecoin (DOGE) are just two of many meme coins that have made headlines this year in the crypto space, but are they setting the trend for the future of money? “The Hash” hosts discuss the phenomenon behind the meme economy and community."
15-12-2021,Dogecoin Surges as Elon Musk Teases Tesla Merchandise Plan,"Dogecoin surged as much as 33% after Tesla CEO Elon Musk tweeted the electric-car maker would accept the cryptocurrency as payment for its merchandise. This comes as Tesla experimented with bitcoin earlier this year. ""The Hash"" team discusses Musk's latest tweet moving the crypto markets in an ongoing testament to his influence."
17-12-2021,"Week Ahead: What’s Next for BTC Price, Possible Global Crypto Crackdowns, Alternatives to Bitcoin","Exploring what’s to come next week in the world of bitcoin as hopes of a Santa Claus Rally bringing BTC to $100K seem dim, and central banks around the world considering potentially banning crypto. Plus, Tesla CEO Elon Musk suggests dogecoin is better than bitcoin for payments, but is it true?"
22-12-2021,Dogecoin Co-Creator: DOGE Is the ‘Most Amusing Thing on the Internet’,"With Tesla’s plan to accept dogecoin for merchandise payments, DOGE co-creator Billy Markus, or ""Shibetoshi Nakamoto,"" speaks on the “perfect confluence of events” that made 2021 the year of the DOGE. Plus, an insider perspective on the strength of the dogecoin community and how events like the GME short squeeze factored into this meme-based cryptocurrency's explosion."
30-12-2021,2021: A Remarkable Year in Bitcoin and Crypto Markets,"Bitcoin hitting new all-time highs on the approval of the first bitcoin futures ETF in the U.S., institutional investors diversifying their investments into ether, alternative layer 1’s reaching new market caps, and, of course, dog-themed tokens making millionaires. 2021 was a busy year for the entire crypto market."
14-01-2022,Dogecoin Surges as Payments Go Live on Tesla Store,"Dogecoin (DOGE) payments went live on the Tesla store during Asian hours Friday, with prices seeing an 11% increase shortly afterward. This comes after Tesla CEO Elon Musk said the electric-car maker would accept dogecoin as payment for its merchandise in December. Earlier this year, Tesla started accepting bitcoin."
26-01-2022,"Fake Grimacecoin Jumps 285,000% After McDonald’s’ Tesla Joke","""Grimacecoin,"" a token created after a McDonald’s joke tweet, surged as much as 285,641% for a few hours Wednesday. Tesla CEO Elon Musk tweeted, “I will eat a happy meal on TV if McDonald’s accepts Dogecoin,"" to which McDonald's replied, “Only if Tesla accepts grimacecoin,” referencing its purple mascot fashioned after a taste bud. ""The Hash"" panel discusses the latest instance of Musk's influence on the meme economy."
03-02-2022,"""Elon Musk Messes With Your Reality"" Short","Welcome to 'Elon Musk Messes With Your Reality,' an animated parody where the billionaire entrepreneur and businessman hosts a game show in the inaugural episode of ""NFT All-Stars.""  Should contestants Brenda, Trevor and Jerry buy or sell dogecoin? How does anyone win this game? Watch to find out."
08-02-2022,CoinDesk TV Celebrates First Anniversary,"From NFTs’ rise to fame on “Saturday Night Live” to dogecoin’s slew of celebrity endorsements to El Salvador adopting bitcoin as legal tender to BTC hitting new all-time highs, CoinDesk TV was there to cover it all. Take a look back at the first year in CoinDesk TV history."
04-04-2022,"Elon Musk Takes 9.2% Stake in Twitter After Slamming its Approach to ""Free Speech""","Elon Musk has become the largest outside shareholder in Twitter, with a 9.2% stake in the social media platform. “The Hash” panel discusses the market reaction to this announcement as dogecoin price and Twitter stock jumped, while noting Musk’s involvement in the ongoing debate about Twitter censorship and free speech."
04-04-2022,Dogecoin Spikes 10% After News of Musk's $3B Stake in Twitter,The prices of some other meme coins rose in tandem.
04-04-2022,"Crypto Markets React to LFG's BTC Reserves, Musk Taking 9.2% Stake in Twitter","Quantum Economics Founder & CEO Mati Greenspan discusses the current state of the crypto markets as the Luna Foundation Guard purchased about $400 million worth of BTC over the past week for its UST reserves. Plus, a conversation on dogecoin’s price spike following Elon Musk’s new stake in Twitter and why Greenspan is bullish on the Near Protocol."
07-04-2022,"Dogecoin, Solana Traders Nurse Big Losses as Cryptos See $400M in Liquidations",Wednesday's figures were the third-highest liquidation losses of this year.
11-04-2022,Twitter CEO Says Elon Musk Will Not Join Board,Musk’s large holding of Twitter shares formed the subject of much market speculation last week.
14-04-2022,What’s Elon Musk’s Plan for Twitter?,"Tech billionaire Elon Musk has offered to buy social media company Twitter (TWTR) for about $41.3 billion in cash, following his decision against taking a board seat. “The Hash” group discusses Musk’s motives behind this move, his threat to offload current shares in the company, and Justin Sun’s counter-response."
15-04-2022,"XRP, Dogecoin Outperform as Crypto Markets Continue Slide",XRP’s rise came amid positive sentiment for the payments tokens as Ripple founder Brad Garlinghouse said his company’s ongoing defense against the SEC’s lawsuit was going “much better than expected.”
20-04-2022,Australia to List Crypto Spot ETFs; WazirX Founders Leave India,Bitcoin and Ethereum spot ETFs landing in Australia next week. India’s WazirX founders move to Dubai. Memecoin fans hope to head to the moon on “Dogecoin Day.” Those stories and other news shaping the cryptocurrency and blockchain world in this episode of “The Daily Forkast.”
21-04-2022,"Elon Musk Confirms $46.5B Funding, May Purchase Shares Directly From Twitter Shareholders","Tech billionaire Elon Musk may follow through on his ambitions to purchase social media platform Twitter, confirming that he has $46.5 billion in funding to purchase stakes directly from the company's shareholders. “The Hash” group discusses what Twitter could look like under Musk’s domain and possible crypto implementations."
25-04-2022,Dogecoin Surges Amid Reports That Twitter Will Accept Musk’s Offer,"According to reports, tech billionaire Elon Musk is close to purchasing the entirety of social media platform Twitter at $54.20 a share. Dogecoin’s price surged 9% on the heels of the news."
26-04-2022,DOGE Jumps on Twitter Deal; Australian Crypto ETFs Delay,Korean direct trading music platform registers NFT patent to prevent illegal copying. Dogecoin leaps after Elon Musk strikes $44 billion deal to buy Twitter. Launch of three crypto ETFs in Australia delayed. Those stories and other news shaping the cryptocurrency and blockchain world in this episode of “The Daily Forkast.”
04-05-2022,APE Surges Then Sinks After Elon Musk's Bored Ape Profile Picture Tease,"Elon Musk, “ringmaster of the attention economy” as described by CoinDesk’s Zack Seward, recently took a jab at PFPs and the Bored Ape Yacht Club through a profile picture tease on Twitter, sparking a price surge in ApeCoin. “The Hash” group discusses the tech billionaire’s history with crypto Twitter and dogecoin, as well as the social media platform’s NFT profile picture feature."
21-06-2022,Elon Musk Reiterates Dogecoin Support Despite Lawsuit,"“The Hash” team discusses Elon Musk’s recent tweet about “supporting Dogecoin,” despite the Tesla CEO facing a $258 billion lawsuit over claims of an alleged pyramid scheme to back the cryptocurrency."
21-06-2022,Bitcoin Bounces Back; S Korea Crypto Tax Delay,"Bitcoin recovers above $20,000 after weekend slump. Elon Musk pumps life into dogecoin amid lawsuit. Chinese online retail giant JD.com tops $60 million in digital yuan sales during 618 shopping festival. South Korea’s 20% crypto gains tax pushed back another two years."
22-06-2022,Cardano Delays Upgrade; Shib and Doge Make Gains,"Valar Ventures-backed Vauld to lay off 30% of staff. Cardano postpones Vasil upgrade, citing bugs and abundance of caution. Dogecoin gains after Musk tweet amid slow market recovery. BTC Markets first crypto firm to receive Australian financial services license. Those stories and other news shaping the cryptocurrency and blockchain world in this episode of ""The Daily Forkast."""
26-07-2022,Messari Analyst on Why Dogecoin Will Likely Be a Tool of Speculation Only,"Messari Sr. Cryptocurrency Research Analyst Tom Dunleavy shares insights into his latest report on the dogecoin (DOGE) phenomenon, breaking down the data on its market cap exceeding $75 billion during bull runs, daily transactions running similar to the Cardano protocol and social sentiment. Plus, insights into Polygon’s zkEVM."
16-08-2022,Global Macro Factors Impacting Bitcoin’s Price,"Bitcoin (BTC) dips below $24,000, as dogecoin (DOGE) surges overnight ahead of its “dogechain” launch. Ikigai Asset Management Founder & CIO Travis Kling discusses his take on what’s moving the crypto markets, including the near-term macro risks, upcoming ETH “merge,” and the influence of memecoins."
17-08-2022,"Memecoins on a Tear, Outperforming Bitcoin","New Crypto Watch data shows memecoins like on dogecoin (DOGE) and shiba inu (SHIB) are outperforming bitcoin (BTC). Plus, meme stocks like Bed Bath & Beyond are also surging. ""All About Bitcoin"" host Lawrence Lewitinn breaks down the Chart of the Day."
24-10-2022,Dogechain Token Price Triples in 7 Days,"The dogecoin-related project is getting pumped. It's not the first time. Community members are voting on a ""great burn."""
28-10-2022,"Elon Musk Closes $44B Twitter Deal, Reportedly Fires Top Executives",Tesla CEO Elon Musk officially completed his $44 billion deal to buy Twitter and reportedly fired the social media giant's top executives. CoinDesk Global Policy & Regulation Managing Editor Nikhilesh De discusses the details and the outlook for dogecoin after its price tripled in the last seven days.
28-10-2022,"Elon Musk Finally Closes Twitter Acquisition, Fires Top Executives",Musk’s buyout occurred after a lengthy back-and-forth between the two sides.
29-10-2022,Dogecoin Replaces Cardano's ADA as 6th Largest Cryptocurrency,DOGE’s market cap currently exceeds that of ADA and more than 120 members of the S&P 500.
31-10-2022,Dogecoin Futures Rack Up Nearly $90M in Liquidations Over Weekend in Unusual Move,There’s some $647 billion of open interest on dogecoin futures as of Monday.
31-10-2022,$90M Dogecoin Futures Liquidation Reveals How 'Illiquid' Crypto Markets Are: Floating Point Group CEO,"Dogecoin futures racked up nearly $90 million in liquidations. John Peurifoy, Floating Point Group co-founder & CEO, points out two trends that explain this rally."
31-10-2022,Dogecoin Futures Reaches Almost $90M in Liquidations Over Weekend in Unusual Move,Dogecoin (DOGE) futures racked up over $89 million in liquidations since Friday amid volatile trading as Elon Musk's purchase of Twitter was confirmed. Floating Point Group co-founder & CEO John Peurifoy discusses his take on the DOGE rally and outlook for the wider crypto markets.
31-10-2022,Twitter to Reportedly Begin Charging $20 Per Month for Verification,"""The Hash"" panel discusses how Twitter could change under billionaire Elon Musk's ownership. The Washington Post reports the social media company will lay off a quarter of its workforce. And according to The Verge, Twitter is gearing up to charge $19.99 for its Twitter Blue subscription. ""The Hash"" team also breaks down insights into the rise of dogecoin recently."
31-10-2022,Market Wrap: Dogecoin’s October Finale Trumps All Other Major Cryptos,The popular meme coin was up more than 8% at one point as DOGE advocate Elon Musk asserted his control over Twitter.
31-10-2022,Dogecoin’s 102% Spike Steals the Spotlight as October Ends,Bitcoin's price has neared a key level months after the June 13 sell-off. Investors should still watch for movement of bitcoin to exchanges.
01-11-2022,Dogecoin Led the Pack Among Cryptocurrencies in October With 17 Times Bitcoin's Gains,"Elon Musk’s Twitter $44 billion deal drove speculation in the Shiba Inu-themed meme coin, which more than doubled in price during the month."
01-11-2022,Elon Musk Tweet Sparks Flurry of Twitter-Themed Dogecoin Tokens,"The price of some 67 tokens dropped more than 90% following their issuance, on-chain data shows."
01-11-2022,Dogecoin Outpaces Other Cryptocurrencies in October With 17 Times Bitcoin's Gains,Dogecoin (DOGE) price rose 101% during October as Elon Musk’s $44 billion Twitter deal drove speculation in the meme coin. “First Mover” co-hosts weigh in on the rally.
01-11-2022,Dogecoin Soared Over 100% in October as Elon Musk Takes Over Twitter,"Dogecoin (DOGE), the shiba inu-themed meme coin, led all gainers for October after rising over 100%, about 90% of which occurred during the last week. This comes as Tesla CEO Elon Musk completed his $44 billion takeover of Twitter and teased integrating with DOGE. ""The Hash"" panel discusses the DOGE surge and what this could mean for Twitter."
01-11-2022,"Crypto Markets Analysis: Money Supply Growth Is Falling, an Encouraging Sign for Fed Progress","The two largest cryptocurrencies by market capitalization traded flat Tuesday, while hovering well above their most recent support lines."
02-11-2022,Market Wrap: Bitcoin Little Affected by Fed Interest Rate Hike,"The largest cryptocurrency by market capitalization ticked down, but only slightly, following a fourth consecutive 75 bps increase."
02-11-2022,BTC Markets Entering a New Phase in Potential Accumulation Season,Asset managers appear comfortable with increasing their exposure to bitcoin.
02-11-2022,BitGo Joins Dogecoin Frenzy as Crypto Custody Firm Rolls Out a Wrapped Version,The announcement comes as DOGE surged 102% in October.
02-11-2022,Dogecoin Above 200-Day Moving Average by Most Since June 2021,"While the meme coin has crossed into what technicians view as bullish territory, chasing the rally may be risky, according to a chart analyst."
02-11-2022,Dogecoin and Meme Tokens Are in Season in India,"Dogecoin has been on the rise since Elon Musk's official takeover of Twitter. ""DOGE is still probably the top traded crypto in India right now,"" says WazirX co-founder Nischal Shetty. He discusses the growing trend of meme tokens in India."
03-11-2022,Bitcoin Levels to Watch After Fed's Latest Rate Hike,"DFD Partners President Bilal Little discusses his outlook for bitcoin (BTC) and the wider crypto markets after the U.S. Federal Reserve on Wednesday announced a fourth consecutive 75-basis-point interest rate hike. Plus, Little's take on the potential factors behind the dogecoin (DOGE) rally."
03-11-2022,Bitcoin Holders Continue to Shrug Off Macro Data,The cost basis for bitcoin has fallen and bitcoin holders appear to be feeling less pain.
04-11-2022,"Twitter Reportedly Halts Work on Crypto Wallet, Driving Dogecoin Down 10%","DOGE had more than doubled in price as Elon Musk completed his Twitter takeover, fueled by optimism he might push crypto-favorable initiatives at the company."
29-11-2022,Dogechain: Dogecoin’s Tag-Along Sidechain,"They may be nominally related, but Dogechain is a different breed altogether."
02-12-2022,Dogecoin's Bitcoin-Beating Bounce May Be Bad News for the Market,"In the past, outsized gains in DOGE have paved the way for a broader market sell-off."
02-12-2022,"Exploring Dogechain, Dogecoin's Tag-Along Sidechain","Popular meme coin dogecoin (DOGE) has rallied roughly 40% in the past 10 days, bringing attention to Dogechain, a sidechain that uses Polygon Edge. CoinDesk Ethereum Protocol Reporter Margaux Nijkerk discusses Dogechain and how it differs from dogecoin."
20-12-2022,Coinbase’s Slump to All-Time Low Sends Market Cap Below Dogecoin,"The crypto exchange has dipped another 17% over the past 30 days, bringing its year-to-date plunge to more than 85%."
25-01-2023,"Dogecoin, Ether Lead Crypto Market Slide","The crypto market slid in the past 24 hours as traders likely took profits after weeks of an uptrend, with ether (ETH) and dogecoin (DOGE) leading the slide among major tokens. Prosper Trading Academy Cryptocurrency Educator Howard Greenberg discusses the catalysts for the pullback, the Coindesk Market Index, and the outlook for bitcoin (BTC)."
30-01-2023,Elon Musk Wants Twitter Payments System to Accommodate Crypto: FT,DOGE spiked on the news.
31-01-2023,Elon Musk Wants Twitter Payments System to Integrate Crypto: FT,"Twitter is designing a system to permit payments through the social media platform, and although billionaire owner Elon Musk wants it ""first and foremost"" to be for fiat currencies, he wants the ability to add cryptocurrencies later, the Financial Times reported Monday. Dogecoin (DOGE) spiked to its 24-hour high after the news broke. ""The Hash"" panel discusses Musk's continued crypto advocacy and outlook for Twitter."
14-03-2023,"Dogecoin Network's Patched Bug Is Still Present in 280 Blockchains, Blockchain Security Firm Says",The bug pertains to the way peer-to-peer communications are conducted on blockchain networks such as Litecoin and Zcash.
03-04-2023,Dogecoin Soars After Twitter Replaces Its Blue Bird Logo With the Token's Dog,In the past Twitter CEO Elon Musk has shown himself to be a fan of the meme coin.
03-04-2023,Bitcoin Drops to $27.5K While Dogecoin Spikes After Twitter Logo Change,"BTC needs a catalyst to break the $30,000 threshold, says an analyst. DOGE spikes after Twitter changes its platform's logo to the dogecoin symbol from the blue bird."
04-04-2023,Dogecoin Futures Liquidations Jump to $26M After Twitter Displays Token's Logo for Some Users,The figures are higher than usual for the popular meme coin.
04-04-2023,First Mover Americas: Dogecoin Pops on New Twitter Logo,"The latest price moves in crypto markets in context for April 4, 2023."
04-04-2023,Dogecoin Soars After Twitter Replaces Blue Bird Logo With the Token's Dog,"Dogecoin (DOGE) is climbing after Elon Musk's Twitter replaced the social-media platform's blue bird logo with the cryptocurrency's iconic Shiba Inu dog. The Tie co-founder and CEO Joshua Frank discusses Musk's impact on DOGE prices and the token's geographic distribution. Plus, insights on the latest ether (ETH) rally."
04-04-2023,"Ether Rallies to 8-Month High, Gains Ground Against Bitcoin","Ether (ETH), the native token of Ethereum's blockchain, rose to an eight-month high on Tuesday, outshining market leader bitcoin (BTC), as U.S. stock futures traded higher while the dollar index dipped. Separately, Dogecoin (DOGE) surged on Elon Musk's Twitter logo change. The most recent market updates and other news shaping the cryptocurrency world in this episode of ""The Daily Forkast."""
04-04-2023,DOGE Rally Sustained by Traders in Korea: Analyst,"Dogecoin (DOGE) surged more than 35% after Elon Musk's Twitter replaced the social-media platform's blue bird atop its homepage with the cryptocurrency's iconic Shiba Inu dog logo. The Tie co-founder and CEO Joshua Frank breaks down the geographical drivers behind DOGE, saying, ""the rally was certainly sustained by traders in Korea."" More broadly, Frank added that ""Asian hours and European hours traders are really moving the crypto markets."""
05-04-2023,Dogecoin Futures Set Record After Twitter Adopts Token's Dog Logo,"Open interest, which can be used to determine market strength behind price trends, jumped to all-time highs in dogecoin terms."
05-04-2023,Dogecoin Futures Set Record After Twitter Adopts Shiba Inu Logo,"""First Mover"" hosts weigh in on bitcoin's reaction to weaker-than-expected ADP jobs data. Plus, the latest on Dogecoin’s derivatives market as prices rose sharply following Twitter’s decision to replace its popular blue bird logo with a picture of a Shiba Inu dog earlier this week."
05-04-2023,Is Chief Twit Elon Musk Also Top DOGE?,"He's done it again, so we're covering it again. Please kill me."
06-04-2023,"Rise in Shiba Inu Breed-Themed Tokens May See Imminent Selling Ahead, Traders Say","Meme coins have outperformed the broader crypto markets in recent days, but some say profit-taking could reverse the rally. ""The Hash"" panel discusses the recent rally and outlook after Twitter replaced its popular blue bird logo with that of Dogecoin’s Shiba Inu mascot."
06-04-2023,"Jump in Shiba Inu Breed-Themed Tokens Is Unsustainable, Crypto Traders Warn","Meme coins have outperformed the broader crypto markets in recent days, but some say profit-taking could reverse the rally."
13-04-2023,Dogecoin Surges 5.8% as Traders Anticipate Elon Musk's Next Move,Dogecoin is beginning to retrace this week's slump after hype waned following Twitter's logo change.
14-04-2023,"Ether, Dogecoin Lead Crypto Market Bounce; Lido's Staked Ether Breaks Into Top Ten",Shapella’s stable rollout likely drove positive sentiment to Ethereum staking-based protocols.
18-04-2023,Dogecoin Surges Amid Elon Musk’s Starship Launch Attempt,"Dogecoin is on the rise following Elon Musk's tweet about his starship launch attempt. Those market updates and other news shaping the cryptocurrency world in this episode of ""The Daily Forkast."""
03-05-2023,"Pepecoin Trading Volumes Surpass Dogecoin, Shiba Inu as Early Buyers Take Profits","Frenzied trading activity has pushed the newly launched pepe token (PEPE) to garner trading volumes higher than those of dogecoin (DOGE) and shiba inu (SHIB), otherwise the two biggest meme coins by trading volume. Since its debut a few weeks ago, PEPE briefly rocketed to a $502 million market cap following a 2,100% rise before pulling back. ""The Hash"" panel discusses the potential factors driving the meme economy's latest rally."
03-05-2023,"Pepecoin Overtakes Dogecoin, Shiba Inu Trading Volumes as Early Buyers Take Profits",One trader infamously took on a 50% slippage for getting out of their pepe position.
11-05-2023,Early DOGE Backer Says Dogecoin Is the 'Modern Mona Lisa',"CoinDesk is taking a closer look at some of the biggest stories that have shaped the crypto industry in the last decade. Early Dogecoin Backer Gary Lachance joins ""First Mover"" to discuss the significance of meme coins and why he thinks Dogecoin could be characterized as a ""modern Mona Lisa."""
