tag,headline,summary,,date
Cardano,ADA Falls After SEC Lists Token as Security in Lawsuits Against Binance and Coinbase,"Cardano (ADA) fell 14% this week after it was listed as a security in the U.S. Securities and Exchange Commission's lawsuits against crypto exchanges Binance and Coinbase. This comes as Cardano development company IOG dismissed the SEC's claims in a blog post, saying the allegations have no impact on operations and that the filing quote contains numerous factual inaccuracies. CoinDesk's Jennifer Sanasie presents ""The Chart of the Day.""",,09-06-2023
Cardano,Robinhood Ends Support for Some Tokens Named in SEC Lawsuit as Securities,"Robinhood (HOOD), the popular trading platform, will end support for Cardano (ADA), Polygon (MATIC) and Solana (SOL), tokens that were named as securities in recent SEC lawsuits against Binance and Coinbase. Separately, Binance.US says it's transitioning to an all-crypto exchange as of June 13, citing pressures from the SEC. The Hash"" panel discusses how the crypto industry is impacted by the regulator's recent actions.",,09-06-2023
Cardano,Cardano Developer Rejects SEC Claim Its ADA Token Is a Security,"“Under no circumstances is ADA a security under U.S. securities laws,” IOG said in a release.",,09-06-2023
Cardano,DeFi Unfazed by SEC's Classification of Tokens as Securities,"These forces will likely only drive “more financial activity to DeFi,” one trader said.",,08-06-2023
Cardano,"BNB Drops to 6-Month Low as ADA, MATIC, SOL Lead Altcoin Tumble","Cryptocurrencies the SEC characterized as securities in recent lawsuits led the drop among altcoins, while BTC traded mostly flat.",,07-06-2023
Cardano,"Cardano DEX Minswap Sees Volume Jump Driven by SNEK, BANK Meme Coins","Volumes surged from just over $1 million at the start of May to $18 million on Tuesday, data from Minswap shows.",,30-05-2023
Cardano,Cardano Scaling Node Hydra Head Goes Live on Blockchain's Mainnet,"The tool, the first in a planned suite of products, aims to speed up transaction times on Cardano.",,12-05-2023
Cardano,"Polygon, Cardano and Solana NFT Sales Rise as Ethereum NFT Sales Slump","While Ethereum remains by far the most popular blockchain for minting NFTs, smaller blockchains have experienced interesting bumps in sales in recent weeks.",,24-04-2023
Cardano,Wrapped Bitcoin Token Goes Live on Cardano Testnet,The anetaBTC project aims to attract bitcoin liquidity to the Cardano ecosystem.,,24-04-2023
Cardano,"Cardano Developer IOG Releases Lace Wallet, Boosting ADA Ecosystem",Users can stake ADA tokens directly from Lace to contribute to the security of the Cardano network and receive rewards for their participation.,,11-04-2023
Cardano,Cardano Gets On-Chain Gaming Boost as Paima Layer 2 Goes Live,Users can connect and play any on-chain game using ADA tokens directly from their wallets.,,04-04-2023
Cardano,Cardano Users Can Soon Access Ethereum Dapps Directly From ADA Wallets,"The move will be enabled after a new feature on Milkomeda, an Ethereum Virtual Machine network, goes live.",,31-03-2023
Cardano,Cardano Blockchain Releases Update to Enhance Network Communication,"The move will ensure network uptime and stability and improve overall resilience, Cardano said.",,17-03-2023
Cardano,Cardano Upgrade Aims to Improve Cross-Chain Features as On-Chain DeFi Crosses $100M TVL,"“This upgrade will bring new cryptographic primitives to Cardano, encouraging greater interoperability and secure cross-chain dapp development with Plutus,” IOG said Wednesday.",,09-02-2023
Cardano,Cardano DEX SundaeSwap Floats First On-Chain Governance Proposal,"The proposal determines the terms, conditions and parameters of future proposals if passed by token holders.",,08-02-2023
Cardano,Cardano-Based Djed Stablecoin Has Attracted 27M ADA Tokens as Reserve Backing,Djed started on Tuesday and has a collateral backing ratio of 600% at the time of writing.,,01-02-2023
Cardano,Cardano DEXs Will Support Djed Stablecoin Liquidity Pools Starting Next Week,The issuance of Djed’s overcollateralized stablecoin has been a much-hyped topic in the Cardano community.,,27-01-2023
Cardano,Cardano-Based Overcollateralized Stablecoin Djed to Launch Next Week,The stablecoin can be minted by ADA holders and is widely expected to be integrated to several Cardano dapps upon launch.,,25-01-2023
Cardano,Cardano Network Recovers After Short-Lived Node Outage,"The Cardano network had a brief outage on Sunday that was automatically fixed within minutes with no singular root cause determined as of writing time, developers wrote in a GitHub post. Cardano’s native ADA token is up nominally in the past 24 hours. ""The Hash"" panel discusses what this suggests about the resilience of Cardano.",,23-01-2023
Cardano,Cardano Network Quickly Recovers After Brief Node Outage,A short-lived outage that affected over 50% of the network was automatically solved within minutes on Sunday.,,23-01-2023
Cardano,Cardano Developer IOG Deploys Sidechain Toolkit to Boost Blockchain,"Sidechains will make Cardano more scalable without compromising the stability or security of the main chain, the developers said.",,13-01-2023
Cardano,"Cardano DeFi Project Ardana Halts Development, Citing Funding, Timeline Concerns",The project closed a $10 million round led by now bankrupt crypto hedge fund firm Three Arrows Capital last year.,,24-11-2022
Cardano,Cardano Is Launching New Privacy Blockchain and Token,"Charles Hoskinson, CEO of the firm that's behind Cardano, says the network will strive to preserve privacy while giving access to regulators and auditors.",,18-11-2022
Cardano,Cardano-Based Regulated Stablecoin USDA Will Hit the Market in Early 2023,"USDA would be the first fully fiat-backed, regulatory-compliant stablecoin in the Cardano ecosystem, Emurgo said.",,18-11-2022
Cardano,Cardano Blockchain Builder IOG Funds $4.5M Research Hub at Edinburgh University,The launch follows IOG’s investment in hubs and funding at Stanford and Carnegie Mellon in the U.S.,,17-11-2022
Cardano,Dogecoin Replaces Cardano's ADA as 6th Largest Cryptocurrency,DOGE’s market cap currently exceeds that of ADA and more than 120 members of the S&P 500.,,29-10-2022
Cardano,Cardano's Founding Entity Emurgo to Invest Over $200M to Boost Ecosystem,The funds will be invested in projects over a three-year period.,,29-09-2022
Cardano,The Significance of Cardano’s Big Change,"Here's what you should know about the Cardano Vasil upgrade as it completes the first phase. This story and other news shaping the cryptocurrency world in this episode of ""The Daily Forkast.""",,23-09-2022
Cardano,Cardano’s Vasil Upgrade Marks an Important Milestone in the Blockchain’s Evolution,"The chief scientist at IOG, Aggelos Kiayias, explains why Cardano has re-thought smart contracts and how it prioritizes security over speed.",,22-09-2022
Cardano,Cardano’s Vasil Hard Fork Expected to Go Live This Week,"The Cardano blockchain will carry out its much-anticipated Vasil hard fork, a backward-incompatible upgrade taking place on the main network. “The Hash” panel discusses how the fork is intended to enrich smart contract capabilities, increase the chain’s throughput and reduce costs.",,21-09-2022
Cardano,What Cardano’s Highly Anticipated Vasil Hard Fork Will Bring,Vasil delivers an updated version of Cardano’s smart contract scripting language: Plutus v2.,,20-09-2022
Cardano,"Ether, ADA Lead Steep Crypto Slide Amid Dollar Strength",Some analysts said impending monetary tightening could add to a global rout across major asset classes such as equities and crypto.,,07-09-2022
Cardano,First Mover Asia: Ethereum's Merge Starts to Hit Gaming Chip Prices,"Prices for graphics processing units for personal computers are tumbling ahead of the Ethereum blockchain's upcoming shift, which is already reducing demand for chips from cryptocurrency miners.",,05-09-2022
Cardano,First Mover Asia: Bitcoin Holds Tight Below $20K; Blockchain Protocol Cardano Arrives on Robinhood. Who Cares?,Other protocols have far exceeded Cardano for total value locked.,,05-09-2022
Cardano,Blockchain Cardano’s Vasil Upgrade Confirmed for Sept. 22,The hard fork had initially been scheduled for a June release.,,02-09-2022
Cardano,Cardano Builder IOG Funds $4.5M Blockchain Research Hub at Stanford University,"IOG previously donated $500,000 to fund Stanford research into blockchain scalability.",,29-08-2022
Cardano,Sygnum Bank Expands Staking to Cardano,"Cardano's ADA joins Ethereum's ETH, Internet Computer's ICP and Tezos' YTZ in the firm's staking offerings, which are integrated with its banking platform.",,02-08-2022
Cardano,Cardano's Vasil Upgrade Is Delayed Again for More Testing,"The hard fork has been pushed back by at least “a few more weeks” until testing is complete, developers said.",,29-07-2022
Cardano,MAS Mulls Crypto Limits; Pacquiao’s Pacman NFTs,"Singapore’s central bank considers limiting retail participation in crypto. Vauld halts withdrawals, trading, deposits; explores restructuring. CoinLoan reduces withdrawal limit by 99%. Questions arise on how far Three Arrows Capital contagion can spread. Can Cardano pack a punch with Pacquiao NFT collection?",,05-07-2022
Cardano,Cardano Delays Upgrade; Shib and Doge Make Gains,"Valar Ventures-backed Vauld to lay off 30% of staff. Cardano postpones Vasil upgrade, citing bugs and abundance of caution. Dogecoin gains after Musk tweet amid slow market recovery. BTC Markets first crypto firm to receive Australian financial services license. Those stories and other news shaping the cryptocurrency and blockchain world in this episode of ""The Daily Forkast.""",,22-06-2022
Cardano,"Cardano Developers Delay Vasil Upgrade, Citing Bugs",Seven bugs remained outstanding before the change could be completed.,,21-06-2022
Cardano,"First Mover Americas: BTC Finally Sees Rebound, but It Could Be Short-Lived","The latest moves in crypto markets in context for May 31, 2022.",,31-05-2022
Cardano,"Cardano’s ADA Spikes 25%, Leads Gains in Crypto Majors","Bitcoin showed signs of bottoming out earlier this week, with the broader market adding some 4.4% in the past 24 hours.",,31-05-2022
Cardano,Cardano’s Hoskinson: Luna Collapse Shows Need to Go Slow in Crypto,"“If you move too quickly … everybody loses their money,” says Hoskinson, who will speak at Consensus 2022 next month.",,27-05-2022
Cardano,"Cardano, Avalanche Lead Fed-Driven Crypto Rally, Traders Still Wary of Long-Term Recovery",Crypto markets added nearly 5% to their overall capitalization in the past 24 hours after broader markets jumped following Fed's interest rate hike.,,05-05-2022
Cardano,Riding the NFT Wave in the Music Industry,"Cordell Broadus aka ""Champ Medici,"" NFT entrepreneur and Snoop Dogg's son, joins ""Community Crypto"" to share insights into his father's NFT ventures and why his latest project runs on Cardano over Ethereum. Plus, rapper Jim Jones and Disrupt Art CEO Rob Richardson on the Badazz Bears NFT collection.",,29-04-2022
Cardano,Cardano Network Developers Increase Block Size by 10%,The upgrade did little to buffer ADA prices in a falling market.,,27-04-2022
Cardano,Crypto Funds See Outflows as Bitcoin Gets More 'Interest-Rate Sensitive',Some $97 million flowed out of digital asset funds in the week through April 15.,,19-04-2022
Cardano,Crypto Funds Draw Inflows for Second Straight Week,"Some $180 million flowed into digital asset funds in the week through April 1, CoinShares reported on Monday.",,04-04-2022
Cardano,Bitcoin's March Gains Help Erase Memories (and Losses) From Awful 2022 Start,"Cardano and Solana rose 27%, outperforming bitcoin.",,31-03-2022
Cardano,Crypto Funds See Largest Inflows Since Mid-December,"After two straight weeks of outflows, $193 million flowed into crypto funds in the seven days through March 25.",,28-03-2022
Cardano,Cardano’s ADA Up Nearly 10% as Coinbase Adds Staking Feature,Coinbase says there’s about a 3.75% annual percentage yield on staked Cardano,,24-03-2022
Cardano,CME Bitcoin Futures Premium Hits Highest Level Since Early January,"The latest moves in crypto markets in context for March 24, 2022.",,24-03-2022
Cardano,"Cryptos Reclaim $2T Capitalization, Cardano’s ADA Leads Gains in Majors","Crypto markets added nearly 3.2% to their overall market cap in the past 24 hours, data shows.",,22-03-2022
Cardano,"Cardano, Solana and Other Non-ETH Tokens the Focus of New Grayscale Smart Contract Fund",It’s the fund manager’s 18th investment product and third diversified fund offering.,,22-03-2022
Cardano,"Competitive Gamer 'That Denver Guy' on the Future of Metaverse Gaming, Digital Land Ownership and More","""That Denver Guy,"" aka competitive gaming expert Denver Moore, joins CoinDesk's ""After Show"" following his appearance on ""New Money"" with Spencer Dinwiddie and Solo Ceesay. He updates Ceesay on his investments in cardano and chainlink and why he's refocused on bitcoin. Moore discusses the future of metaverse gaming, saying, ""our cash won't do anything in these worlds."" Plus, why he views land purchase in the metaverse as similar to the California Gold Rush.",,11-03-2022
Cardano,Market Wrap: Cryptos Mixed Amid Global Uncertainty,"Price gains were short-lived, although some analysts expect a relief rally if war-related conditions ease.",,11-03-2022
Cardano,Crypto-Fund Inflows Tripled Last Week to Highest in Almost Three Months,"A net $127 million went into digital-asset funds during the week ended March 4,  with minor outflows in Europe and large inflows in the Americas.",,07-03-2022
Cardano,Whale Holdings in Cardano's ADA Token Hit Record High,Large investors have boosted their coin stash by more than 40% this year.,,07-03-2022
Cardano,First Mover Asia: China to Widen Test of Digital Yuan as Russia Invasion Spotlights Crypto’s Potential Role; Cryptos Decline,The country is close to approving trials of the central bank digital currency in a number of cities and regions; bitcoin and ether drop as risk-on appetite fades.,,03-03-2022
Cardano,Market Wrap: Bitcoin Decouples From Stocks Ahead of Seasonally Weak March,"Bitcoin and ether were up 5% over the past 24 hours, while stocks closed lower.",,01-03-2022
Cardano,"Cardano’s ADA Dives 18%, Leading Plunge in Cryptos as Russia Begins War With Ukraine","Global stocks are tumbling alongside cryptocurrencies, with Western European indexes down nearly 5% and U.S. futures pointing to about a 3% opening decline.",,24-02-2022
Cardano,Cardano’s ADA Jumps Amid Recovery in Major Cryptos; Traders Remain Cautious,Prices of major cryptocurrencies were up as much as 16% on Wednesday after nearly a week of downslide.,,23-02-2022
Cardano,Canadian Court Orders Freeze of 'Freedom Convoy' Crypto Accounts,"The Canadian ""Freedom Convoy"" saga continues as an Ontario court ordered the freezing of funds in over 120 crypto addresses tied to bitcoin, cardano, ethereum, litecoin and privacy coin monero. ""The Hash"" co-hosts examine Canada's ""surprising totalitarian measures"" and Kraken CEO Jesse Powell's reactions.",,18-02-2022
Cardano,"Shiba Inu’s SHIB Extends Surge, Bitcoin Breaks a Key Resistance Level","The meme coin rose sharply, even as major cryptocurrencies showed small gains and some losses.",,08-02-2022
Cardano,Crypto Fund Inflows Follow Pickup in Market Sentiment,Inflows into digital-asset funds last week were 4.5 times what they were the week before.,,07-02-2022
Cardano,5 Cryptocurrencies You Can Stake: An In-Depth Guide,Make your crypto work for you and earn passively while holding.,,03-02-2022
Cardano,Cardano Developers Propose Block Size Increase,The proposal will increase Cardano’s block size to 80 KB from the current 72 KB in line with a broader plan for increasing network capacity.,,02-02-2022
Cardano,Bitcoin Bargain? Investors Put Money Into Crypto Funds for Second Straight Week,"Cryptocurrency funds attracted $19 million of new money last week, suggesting investors are cautiously adding to positions, with prices depressed compared with year-end levels.",,31-01-2022
Cardano,"SundaeSwap Switcheroo Leaves CardStarter Users With Losses, Spreading Cardano Discord",Cardano founder Charles Hoskinson stepped in to admonish leaders of the squabbling projects to sort out their differences. Strong language was used.,,26-01-2022
Cardano,"Bitcoin Drops to 6-Month Low, Ether Eyes Bearish Cross as US Stock Index Futures Erase Early Gains",Bitcoin and ether fell to their lowest levels since July after Goldman Sachs predicted a faster pace of Fed tightening.,,24-01-2022
Cardano,Cardano-Based Decentralized Exchange SundaeSwap Off to Rocky Start,Users have complained that they have not received their tokens after swapping Cardano's ADA tokens for SUNDAE.,,21-01-2022
Cardano,"Cardano's ADA Token Leads Crypto Majors Lower, Bitcoin Nears $41K as Bond Yields Rise",Bitcoin appears to have led Nasdaq and other risk assets in pricing Fed jitters.,,19-01-2022
Cardano,Cardano Price Surges on SundaeSwap DEX Catalyst,The price is up to $1.55 in European morning hours on Monday from Sunday’s low of $1.28.,,17-01-2022
Cardano,Land Prices Surge on Cardano Metaverse Project Pavia,"Over 60% of 100,000 virtual land plots have sold on Pavia, with the remaining set to go under the hammer later this quarter.",,17-01-2022
Cardano,Cardano Jumps 7% After Coinbase Fixes Withdrawal Bug,"Cardano’s rally was fueled by traders regaining confidence in the protocol, and the HKMA taking a more gentle approach to retail crypto.",,13-01-2022
Cardano,Cardano Reaches Goal of Planting 1M Trees,The Cardano Foundation is spearheading land restoration and local ecosystem development activities using the Cardano blockchain.,,10-01-2022
Cardano,2021: The Year of the Alts,"The market has decided that it likes bitcoin more than it did a year ago – but it really, really likes ether and its layer 1 rivals.",,09-01-2022
Cardano,"Grayscale Adds Flexa’s AMP to DeFi Fund, Removes BNT, UMA in Quarterly Rebalancing","The world’s largest digital asset manager announced the updated weightings on Monday, following reconstitution of the CoinDesk DeFi Index (DFX).",,04-01-2022
Cardano,"Cardano, Avalanche Lead Crypto Decline in Volatile Trading Session",Altcoins posted a mixed performance as the crypto market declined ahead of a major options expiry for bitcoin on Friday.,,30-12-2021
Cardano,"Cardano, Polkadot Jump as Bitcoin Holds Above $50K",Major cryptocurrencies including bitcoin and ether regained price levels from Friday after seeing a slight dip over an otherwise quiet Christmas weekend.,,27-12-2021
Cardano,Cardano Founder Charles Hoskinson Lays Out 2022 Plans,"Hoskinson said the creation of a formal open-source project structure for Cardano is on the cards, among other developments.",,27-12-2021
Cardano,"Cardano, Polkadot Advance as Crypto Market Rallies Ahead of Christmas",Thin liquidity leading to the holiday season led to a brief revival of most cryptocurrencies.,,24-12-2021
Cardano,"Avalanche, Layer 1 Tokens Soared in November as Ethereum Fees Drove Competition",Avalanche saw its AVAX token rise 70% in November and was the month’s best performing layer 1 platform with a market capitalization of $10 billion or greater.,,30-11-2021
Cardano,"EToro to Limit Cardano and Tron for US Customers, Coin Prices Fall",The prices of the cryptocurrencies’ tokens have taken a hit following the announcement.,,24-11-2021
Cardano,Ardana and Near Join Forces to Build a Crosschain Bridge,The new bridge will connect two blockchains poised to make a run at the TVL leaderboard.,,23-11-2021
Cardano,Steady Interest in Bitcoin Keeps Money Flowing Into Crypto Funds,"Investment products focused on the largest cryptocurrency gained $98 million, up from $95 million the week before.",,15-11-2021
Cardano,"Bitcoin Retreats From All-Time High, Ether Follows",The shakeout appeared to coincide with a turn lower in U.S. stock markets.,,11-11-2021
Cardano,Crypto Fund Inflows YTD Significantly Higher Than Last Year,Total assets under management have also reached an all-time high of $80 billion.,,08-11-2021
Cardano,Ethereum Alternatives and Gaming Tokens Outperform BTC and ETH,Solana’s SOL hit an all-time high of $246 on Wednesday and the token is up 5% in the last 24 hours. Polkadot (DOT) is up 7%.,,04-11-2021
Cardano,The Tragedy of the Third Coin,"As crypto moves increasingly mainstream, many retail investors seek an alternative to bitcoin and ethereum.",,01-11-2021
Cardano,Three Arrows Capital Backs $10M Raise for DeFi on Cardano,"Major DeFi investors piled into the Ardana project, including some that have never invested in Cardano before.",,29-10-2021
Cardano,Crypto Fund Inflows Hit Record $1.5B as Bitcoin Futures ETFs Go Live,"Bitcoin dominated this week’s inflows, with a 99% share. Last week, bitcoin’s weekly inflows were at $70 million.",,25-10-2021
Cardano,Australia Has Third-Highest Rate of Crypto Adoption in the World: Finder Survey,Almost 18% of the country’s population owns crypto.,,19-10-2021
Cardano,SEBA Bank Exec on Launching Program for Clients to Earn Yield With Crypto,"Digital asset platform SEBA Bank has introduced a product that will let clients earn a yield on their crypto holdings. Institutions can generate rewards from proof-of-stake protocols such as Polkadot, Tezos and Cardano, with other networks to be added over time. Urs Bernegger, Co-Head of Trading and Investment Solutions at SEBA Bank, discusses the launch, the role of Europe in DeFi, and his crypto markets assessment.",,14-10-2021
Cardano,Gene Simmons’ $300K Cardano Investment Has More Than Doubled Since February,The Kiss star has veered heavily into crypto in recent years. It may have paid off handsomely.,,11-10-2021
Cardano,Stellar and Cardano Show the Power of College Partnerships,Initiatives linking foundations and universities broaden the base for crypto development.,,08-10-2021
Cardano,Crypto Funds Draw $90M in New Money as Confidence Returns,"Bitcoin-focused funds have attracted new capital for three straight weeks, after a period of outflows in recent months.",,04-10-2021
Cardano,"Cardano Foundation CEO on Gaining Smart Contract Capability, 'Alonzo' Hard Fork","Open-source public blockchain Cardano's ADA token has skyrocketed over 1000% YTD. Behind this surge is the completion of the ""Alonzo"" hard fork, a major upgrade on the Cardano network that saw the implementation of smart contract functionality, paving the way for native decentralized applications (dapps). Cardano Foundation CEO Frederik Gregaard shares insights into what ""Alonzo"" means for development on the blockchain, the network, and the overall digital asset ecosystem.",,29-09-2021
Cardano,"Cardano’s Commercial Arm to Invest $100M in DeFi, NFTs and Blockchain Education","A “dedicated” operation will commence next year to further DeFi, NFT solutions and blockchain education efforts.",,27-09-2021
Cardano,Cardano’s Charles Hoskinson Donates $20M to Build Math Center at Carnegie Mellon University,"The center will work in close collaboration with faculty, students and researchers across the campus.",,27-09-2021
Cardano,"Cardano Announces Partnerships With Dish Network, Chainlink",The tie-up with Chainlink will allow added support for developers working on the Cardano blockchain to develop smart contracts.,,26-09-2021
Cardano,"Market Wrap: Bitcoin Whipsaws on Fake News, Investors Flow Into Solana Funds",Bitcoin traded in a choppy range on a fake press release about a Walmart partnership with Litecoin.,,13-09-2021
Cardano,Solana Funds Outshined Bitcoin Last Week Amid Down Market,"Crypto funds focused on Solana’s SOL token garnered almost $50 million of inflows last week, while bitcoin funds brought in a “paltry” $200,000.",,13-09-2021
